,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url
0,8zpwfjU_Kuk,Finanztip,"Auto durchgerechnet: Was lohnt sich mehr – kaufen, finanzieren oder leasen?","['Auto kaufen', 'auto leasen', 'auto finanzieren', 'autokredit', 'neuwagen', 'gebrauchtwagen', 'junger gebrauchter', 'auto kaufen oder finanzieren', 'auto kredit aufnehmen', 'auto anschaffen', 'wertverlust', 'auto', 'anzahlung', 'jahreswagen', 'Saidi', 'Finanztip', 'Video der Woche', 'Alternative auto', 'auto pannenhäufigkeit']",2020-02-21T13:00:02Z,579543,7731,808,,PT9M43S,hd,https://i.ytimg.com/vi/8zpwfjU_Kuk/hqdefault.jpg
1,YmjlBjb-uY8,Law By Mike,How The Secret Service Protects The President,"['law', 'lawyer', 'laws', 'hacks', 'law by mike', 'lawbymike', 'lawyer reacts', 'lawyer tips', 'legal', 'repeat after me', 'repeatafterme', 'shorts', 'shorts hot', 'shorts video', 'shorts youtube', 'social media addiction', 'tips', 'tips and tricks', 'tricks', 'tricky', 'law by mike tiktok', 'law school', 'lawsuit', 'lawsuit explained', 'lawsuits and settlements', 'legal analysis', 'mrbeast', 'music', 'real lawyer', 'songs', 'lawyers', 'reaction', 'tiktok', 'tik tok', 'funny', 'youtube shorts', 'trending', 'funny videos', 'react', 'memes', 'mike', 'beast', 'jimmydonaldson']",2024-12-21T18:37:38Z,11527510,975642,2683,,PT52S,hd,https://i.ytimg.com/vi/YmjlBjb-uY8/hqdefault.jpg
2,O13rRW42UJ8,Linus Boman,In 1993 Prince released his own font. #shorts,['prince'],2021-09-07T13:45:01Z,294625,18885,193,,PT47S,hd,https://i.ytimg.com/vi/O13rRW42UJ8/hqdefault.jpg
3,HWt-THXL1DQ,La Vanguardia,VAGINA: Cómo combatir la laxitud vaginal,"['Vagina (Anatomical Structure)', 'Health Care (Industry)', 'Health (Industry)', 'Relaxation Technique (Medical Treatment)', 'La Vanguardia (Newspaper)', 'vaginal laxity', 'sexual', 'clitoris', 'vanguardia', 'lavanguardia', 'noticia']",2015-11-17T12:00:00Z,7367724,15089,1705,,PT5M55S,hd,https://i.ytimg.com/vi/HWt-THXL1DQ/hqdefault.jpg
4,PvUArQNe3LA,Programmieren lernen,HACKEN LERNEN: Passwörter knacken (Tutorial & Challenge),"['Programmierer werden', 'Software-Programmierer', 'Entwickler', 'Software-Entwickler', 'Job', 'Karriere', 'Developer', 'Webdeveloper', 'Web-Developer', 'Ausbildung', 'Weiterbildung', 'Coaching', 'HTML', 'JavaScript', 'lernen', 'schnell', 'Premium', 'Lebenslauf', 'Studium', 'Arbeit', 'Developer Akademie', 'Akademie', 'Schule', 'Uni', 'Portfolio aufbauen', 'Programmieren lernen', 'Umschulung', 'Fortbildung', 'IT', 'Programmierer', 'programmierer werden ohne studium', 'Bootcamp', 'Coden', 'Herr Programmierer', 'Schnell', 'Programmieren']",2022-03-16T17:00:15Z,640640,21417,837,,PT15M9S,hd,https://i.ytimg.com/vi/PvUArQNe3LA/hqdefault.jpg
5,L3XcJkMm2qw,CHECKER WELT,Das Zitronenauto?! | CheXperiment mit Checker Tobi | Die Entdeckershow,"['Checker Tobi', 'Chexperiment', 'Elektroauto', 'Experiment', 'Kindersendung', 'Video für Kinder', 'Wissen', 'Wissen für Kinder', 'Zitronen', 'Checker Tobi KiKA', 'Physik für Kinder']",2022-06-24T16:00:45Z,406083,1874,0,,PT14M10S,hd,https://i.ytimg.com/vi/L3XcJkMm2qw/hqdefault.jpg
6,5MD796M-JLU,DW Documental,Volver a empezar en Chernóbil | DW Documental,"['DW', 'DW Documental', 'Documentales en español', 'canal aleman', 'documental', 'documental 2021', 'full documentary', 'documentales completos', 'Deutsche Welle', 'reportajes', 'reportajes completos', 'documentales gratis', 'Documental', 'Ucrania', 'Rusia', 'separatistas', 'Ucrania del este', 'guerra', 'cesio', 'estroncio']",2022-02-22T20:00:00Z,404525,7398,518,,PT28M27S,hd,https://i.ytimg.com/vi/5MD796M-JLU/hqdefault.jpg
7,i75vlmYkcgA,Kenhub - Learn Human Anatomy,Male Surface Anatomy Definition (preview) - Human Anatomy | Kenhub,"['male vs female surface anatomy', 'male surface anatomy landmarks', 'male surface landmarks', 'male surface anatomy', 'surface anatomy males', 'male surface anatomy video', 'male surface anatomy tutorial', 'anatomy surface marking', 'male body anatomy', 'anatomy of male body', 'differences between male and female body', 'male and female anatomy differences', 'male and female anatomy similarities', 'male and female anatomy model', 'male bony landmarks', 'male soft tissue anatomy', 'male posterior anatomy']",2016-10-31T08:47:29Z,171052,,2,,PT2M1S,hd,https://i.ytimg.com/vi/i75vlmYkcgA/hqdefault.jpg
8,ybjl5nXSR-U,Blippi auf Deutsch - Lernvideos für Kinder,Blippi Deutsch - Lernt Farben und Zählen am Strand | Abenteuer und Videos für Kinder,"['Blippi', 'Blippi Spielzeug', 'Kinderreime', 'Kinderlieder', 'Kleinkinder Kinder Vorschule', 'Traktoren', 'Feuerwehrautos', 'Müllwagen', 'Monster Trucks', 'Bagger lernen lernen', 'Kinderreim', 'Kinder', 'Lernvideos für Kinder', 'Pädagogisch Videos für Kleinkinder', 'lernen', 'lernen mit Blippi', '123', 'abc', 'abc lieder', 'cartoons', 'cartoons für kinder', 'Zeichentrickfilme', 'Farben lernen', 'Zahlen lernen', 'Formen lernen', 'kinderlieder', 'Spaß', 'abenteuer', 'Lernt Farben und Zählen am Strand', 'Zählen am Strand', 'lerne Zählen']",2021-04-03T11:00:32Z,5775186,6430,0,,PT10M41S,hd,https://i.ytimg.com/vi/ybjl5nXSR-U/hqdefault.jpg
9,CRgJHTmBGOE,Dinge Erklärt – Kurzgesagt,"Was passiert, wenn eine Atombombe deine Stadt trifft?","['Atomwaffe', 'Atomwaffen', 'Atombombe', 'Nuklearwaffe', 'Wasserstoffbombe', 'Atomkrieg', 'Fallout', 'A-Bombe', 'H-Bombe', 'Feuerball', 'Blitz', 'Wärmepuls', 'Stoßwelle', 'Atompilz', 'Feuersturm', 'schwarzer Regen', 'Hiroshima', 'Nagasaki', 'Sprengkopf', 'Kernwaffe', 'Strahlung', 'Krebs', 'Kontamination', 'Rotes Kreuz', 'ICRC', 'Stadt', 'nukleare Explosion', 'Bewegung des roten Halbmonds']",2020-07-01T12:30:01Z,6932887,180409,12755,,PT9M11S,hd,https://i.ytimg.com/vi/CRgJHTmBGOE/hqdefault.jpg
10,5qvpKWp-LVc,Peppa Pig Deutsch - Offizieller Kanal,Peppas Tag am Strand 💖 Spielzeug für Kinder | Peppa Wutz Neue Folgen,"['peppa', 'peppa pig', 'peppa wutz', 'pepa wutz', 'peppa pig deutsch', 'peppa wutz deutsch', 'peppa wutz episoden auf deutsch', 'peppa deutschland', 'peppa wutz deutschland', 'peppa wutz german', 'peppa pig german', 'peppa ganze folge', 'peppa folge', 'peppa wutz spielzeug', 'peppa wutz spielzeug deutsch', 'spielzeug video für kinder', 'spielzeug', 'Spielzeug für Kinder', 'peppa wutz neue folgen 2019', 'peppa wutz peppas talent', 'stop motion', 'peppa pig stop motion', 'peppa wutz strand', 'peppa wutz urlaub am strand']",2020-02-12T05:00:02Z,1191093,2448,,,PT13M18S,hd,https://i.ytimg.com/vi/5qvpKWp-LVc/hqdefault.jpg
11,-5JP2UZx4z8,Die Maus,Ein Tag an Board der ISS | DieMaus | WDR,"['Astro-Alex', 'Alexander Gerst', 'Weltall', 'ISS', 'Astronaut', 'Weltraum', 'Raumschiff', 'Internationale Raumstation', 'All', 'Schwerelosigkeit', 'Schwerkraft', 'Sendung mit der Maus', 'Die Maus', 'Maus', 'Maus und Elefant', 'Die Sendung mit der Maus', 'Maus WDR', 'WDR', 'ARD', 'Astroalex', 'Maustronaut', 'esa']",2021-07-20T10:00:00Z,1263204,7539,0,,PT12M37S,hd,https://i.ytimg.com/vi/-5JP2UZx4z8/hqdefault.jpg
12,g6aJhYM0Kc0,Patrick Loeber,Is it useless to copy a String in Python?? (5 Options),['Python'],2022-04-08T10:27:54Z,257721,12746,156,,PT57S,hd,https://i.ytimg.com/vi/g6aJhYM0Kc0/hqdefault.jpg
13,NkUVbUFJE4U,Wilde Tierwelt,Die Schafe im Zwergenwald | Anna auf dem Bauernhof  | #4,"['Anna auf dem Bauernhof', 'Kartoffelernte', 'Heuballen', 'Rind', 'Misthaufen', 'Goldhirse', 'Kartoffeln', 'Schafe', 'Zwergenwald', 'Kalb', 'Bauernhof', 'Landwirt', 'Traktor', 'Info für Kinder']",2022-04-21T07:30:10Z,860632,3072,0,,PT24M19S,hd,https://i.ytimg.com/vi/NkUVbUFJE4U/hqdefault.jpg
14,O8IhZTK7mCM,ZDFbesseresser,Frech frittiert: So trickreich haben Pommes von McDonald’s die Welt erobert | Food Stories,"['tricks der lebensmittelindustrie', 'lebensmittel', 'nelson müller', 'sebastian lege', 'lebensmittel doku', 'zdf doku', 'zdf', 'besseresser', 'zdf besseresser']",2022-06-27T14:00:13Z,431542,7533,739,,PT10M34S,hd,https://i.ytimg.com/vi/O8IhZTK7mCM/hqdefault.jpg
