,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url
0,P9JPIzuitAI,友利新公式チャンネル(内科・皮膚科医),小倉智昭さん 標準治療を受けておけばと後悔のニュースをみて思うこと,"['友利新', 'スキンケア', '美容', 'コスメ', 'お気に入り', '美白', 'ともりあらた', '標準治療', 'ニュース', '小倉智昭']",2024-12-23T10:00:31Z,305672,4664,210,,PT13M23S,hd,https://i.ytimg.com/vi/P9JPIzuitAI/hqdefault.jpg
1,3cWxp766CjY,Bosch Home ,Der cremigste Mohnkuchen mit Schmand 😍 | SIMPLY YUMMY Rezepte,"['Bosch', 'Haushaltsgeräte', 'Küchengeräte', 'Home Connect', '#LikeABosch', 'kuchen backen', 'einfacher kuchen', 'schneller mohnkuchen', 'einfaches rezept', 'schnelles rezept', 'schnelle rezepte', 'einfache rezepte', 'mohnkuchen backen', 'mohn torte', 'mohn kuchen', 'einfach und lecker', 'mohnkuchen mit pudding', 'mohnkuchen mit schmand', 'schmandkuchen', 'schmandtorte', 'schmand rezepte', 'mohn käsekuchen', 'mohn käsekuchen rezept', 'mohn schmand kuchen', 'mohnmasse selber machen', 'mohnmasse für kuchen', 'mohnmasse mit pudding']",2022-02-15T15:00:12Z,201112,2129,33,,PT2M18S,hd,https://i.ytimg.com/vi/3cWxp766CjY/hqdefault.jpg
2,nPGQLmTyKMs,Mics مايكس,عصابة محترفة تتحدى عزام وفريقه | بودكاست جناية,"['مايكس', 'بودكاست', 'جناية', 'عصابة', 'قصص', 'جرائم', 'مجرم سابق', 'عزام', 'سرقة بنك']",2024-12-23T15:01:00Z,188891,9954,1048,,PT1H36M42S,hd,https://i.ytimg.com/vi/nPGQLmTyKMs/hqdefault.jpg
3,bqM9xWqsLC0,Hensslers Schnelle Nummer,"Schnelles, knuspriges Brathähnchen-Rezept von Steffen Henssler","['steffen henssler', 'hensslers schnelle nummer', 'schnelle rezepte', 'brathähnchen']",2021-02-16T08:45:01Z,648835,8619,387,,PT3M47S,hd,https://i.ytimg.com/vi/bqM9xWqsLC0/hqdefault.jpg
4,3SaN8a80xtc,Epicurious,$145 vs $10 Mac & Cheese: Pro Chef & Home Cook Swap Ingredients | Epicurious,"['easy mac and cheese', 'epi', 'epicurious', 'expensive mac and cheese', 'expert mac & cheese', 'fancy mac and cheese', 'gourmet mac & cheese', 'gourmet mac and cheese', 'lobster mac & cheese', 'lobster mac and cheese', 'lobster mac and cheese recipe', 'mac & cheese', 'mac and cheese', 'mac and cheese competition', 'mac and cheese recipe', 'macaroni & cheese', 'macaroni and cheese', 'macaroni and cheese recipe', 'make mac & cheese', 'make mac and cheese', 'pro chef vs home chef', 'pro chef vs home cook']",2021-03-31T16:00:07Z,3034680,50544,1982,,PT21M18S,hd,https://i.ytimg.com/vi/3SaN8a80xtc/hqdefault.jpg
5,qpH1hwoeHe8,Can Der Koch,Butter Chicken,,2021-05-18T13:52:58Z,796110,33595,301,,PT56S,hd,https://i.ytimg.com/vi/qpH1hwoeHe8/hqdefault.jpg
6,1JwenhdL6Ig,Bristi Home Kitchen,"इतनी स्वाद बनी थी, कि मै अपनी ऊंगलीया चाट गई |","['mooli ke patte ki sabji', 'mooli ke patte ki kaise banaye', 'mooli patte ki sabji recipe', 'mooli ki sabji', 'mooli paratha', 'mooli ki sabji recipe', 'bristi home kitchen', 'मूली के पत्ते', 'मूली के पत्ते की सब्ज़ी', 'mooli ke patte ki sabzi recipe', 'lahsun ki chatni', 'lahsun ki chatni recipe', 'lahsun ki chatni recipe in hindi', 'lahsun mirch ki chutney', 'mirchi chutney recipe', 'mirchi chutney', 'chilli chutney recipe', 'chutney', 'chutni', 'chatni', 'चटनी', 'मिरची चटणी', 'तिखी चटणी', 'halwai recipes']",2024-12-23T14:53:22Z,209742,5020,481,,PT8M1S,hd,https://i.ytimg.com/vi/1JwenhdL6Ig/hqdefault.jpg
7,j4_l5t2hJYs,The Stay At Home Chef,Basic 3 Ingredient Cranberry Sauce (Plus Variations!),"['cranberry sauce', 'homemade cranberry sauce', 'cranberry sauce recipe', 'how to make cranberry sauce', 'how to make homemade cranberry sauce', 'thanksgiving recipe', 'thanksgiving', 'recipe', 'recipes', 'cranberry recipe', 'cooking', 'food', 'thestayathomechef', 'the stay at home chef', 'rachel farnsworth', 'stayathomechef']",2020-11-18T15:30:02Z,477178,9441,268,,PT3M54S,hd,https://i.ytimg.com/vi/j4_l5t2hJYs/hqdefault.jpg
8,bqX3aSa0buI,घमु Saran,super Healthy Gajjar ka halwa 😋 / Recipe of Gajar ka halwa / Ghamu saran #shorts #recipe,"['ghamu', 'saran', 'divya', 'kappu', 'cooking', 'gajjar', 'ka', 'halwa', 'recipe', 'at', 'home', 'healthy', 'viral']",2024-12-23T09:32:25Z,328164,26707,306,,PT1M,hd,https://i.ytimg.com/vi/bqX3aSa0buI/hqdefault.jpg
9,sZz6OYksWFk,Can Der Koch,Kuymak/Mihlama - Eines der besten Frühstücksgerichte der welt 🙌,,2022-08-07T10:13:33Z,1625178,78081,478,,PT46S,hd,https://i.ytimg.com/vi/sZz6OYksWFk/hqdefault.jpg
10,otB7mMHcxKg,Food Network,Top 5 Jeff Mauro Recipe Videos | Food Network,"['food network', 'food', 'cooking', 'recipe', 'how-to', 'how to make', 'tutorial', 'cook', 'chef', 'fn', 'directions', 'ingredients', 'eat', 'recipes', 'easy recipes', 'easy recipe', 'food network recipes', 'best', 'simple', 'quick', 'the kitchen', 'kitchen', 'jeff mauro', 'jeff', 'sandwich king', 'sandwich', 'host', 'top 5', 'top', 'favorite', 'famous', 'top rated', 'best recipes', 'compilation', 'pizza', 'wrap', 'chicken caesar', 'pie', 'chocolate', 'peanut butter', 'no bake pie', 'dessert', 'lunch', 'dinner', 'cheap', 'mac and cheese', 'macaroni and cheese', 'comfort food', 'fajitas', 'steak', 'chicken']",2021-10-30T18:00:14Z,204174,1526,63,,PT29M45S,hd,https://i.ytimg.com/vi/otB7mMHcxKg/hqdefault.jpg
11,HYxuF63TUGU,Chef Ranveer Brar,Karahi Gosht | कढ़ाई मटन  | spicy Kadhai meat | Special restaurant style recipe | Chef Ranveer Brar,"['Karahi Mutton', 'Karahi gosht', 'Eid Special Mutton curry', 'Mutton karahi', 'Lahore karahi Mutton', 'Mutton curry recipe', 'Mutton curry Ranveer Brar', 'Mutton curry kaise banate hain', 'मटन करी', 'Mutton Biryani', 'Yakhni Mutton pulao', 'Mutton kulambu', 'Lamb curry', 'Karahi gosht restaurant style', 'Mutton rara', 'Mutton recipes', 'Lahori Mutton karahi', 'Mutton curry pressure cooker', 'Authentic karahi gosht', 'Peshawari karahi Mutton', 'Mutton goat karahi recipe', 'Charsi Mutton karahi', 'Kari kulambu', 'Mutton']",2022-07-10T06:30:03Z,409254,,1158,,PT15M31S,hd,https://i.ytimg.com/vi/HYxuF63TUGU/hqdefault.jpg
12,oxiIR6tciFw,BE NATURAL,New Mom & New Born Babycare Hacks You Must Know #shorts #ytshorts #youtubeshorts,,2024-12-23T04:47:16Z,1083293,59910,115,,PT1M,hd,https://i.ytimg.com/vi/oxiIR6tciFw/hqdefault.jpg
13,IN2ncOZJqjo,La Cocina Kochschulen,Soße für Gänsebraten / Braune Soße selber machen. Calle 's einfaches Rezept,"['dunkle soße', 'braune soße selber machen', 'braune soße', 'braune soße selber machen einfach', 'braune grundsoße', 'bratensoße selber machen', 'dunkle soße selbermachen', 'la cocina', 'weihnachtsgans soße', 'gans soße', 'bratensoße rezept', 'bratensoße selber machen schnell', 'soße selber machen für fleisch', 'callekocht braune sauce', 'la cocina kochschule', 'jus selber machen', 'braune sauce', 'dunkle sauce', 'soße kochen', 'soße selber machen', 'bratensoße', 'Callekocht', 'Calle']",2020-10-18T13:49:54Z,292032,5308,183,,PT7M33S,hd,https://i.ytimg.com/vi/IN2ncOZJqjo/hqdefault.jpg
14,qFk20hWp878,Chef Ranveer Brar,Kolkata Style Chicken Biryani | आलू वाला कोलकाता चिकन बिरयानी | Chef Ranveer Brar,"['kolkata biryani recipe', 'kolkata biryani masala recipe', 'kolkata biryani banane ka tarika', 'kolkata biryani aloo wala', 'kolkata biryani bong eats', 'kolkata biryani chicken', 'biryani recipe Ranveer brar', 'कोलकाता चिकेन बिर्यानी', 'রেস্টুরেন্ট স্টাইল চিকেন বিরিয়ানি বাংলা রেসিপি', 'চিকেন বিরিয়ানি', 'chicken biryani in tamil', 'chicken biryani in pressure cooker', 'chicken biryani bengali', 'dum biryani', 'hyderabadi chicken biryani', 'kolkata biryani masala', 'chicken', 'kolkata biryani', 'chicken biryani']",2021-06-25T06:30:12Z,3484348,,5717,,PT15M39S,hd,https://i.ytimg.com/vi/qFk20hWp878/hqdefault.jpg
15,QPC3616OpHw,Food Network,How to Make Bulgogi with Jet Tila | Ready Jet Cook | Food Network,"['food network', 'fn', 'food', 'cooking', 'recipe', 'how-to', 'how to make', 'tutorial', 'cooking show', 'food show', 'ready jet cook', 'jet tila', 'chef', 'chinese', 'american', 'china', 'asian', 'cuisine', 'international', 'asian cuisine', 'asian dishes', 'chinese food', 'fried rice', 'stir fry', 'takeout', 'at home', 'cook', 'directions', 'ingredients', 'eat', 'recipes', 'easy recipes', 'jet', 'bulgogi', 'beef', 'korean', 'bbq', 'barbecue', 'barbeque', 'korea', 'korean recipes', 'bulgogi recipe', 'how to make bulgogi', 'korean bbq', 'meat', 'rib-eye', 'ribeye']",2022-01-17T00:00:15Z,363809,7681,226,,PT17M10S,hd,https://i.ytimg.com/vi/QPC3616OpHw/hqdefault.jpg
16,NPVv7H1bAIk,villfood,হাঁসের ডিম্ দিয়ে মাঠের টাটকা ফুলকপি রান্না সঙ্গে বেগুন পোড়া | Duck egg curry with cauliflower,"['duck egg curry', 'duck egg with cauliflower recipe', 'fulkopi recipe', 'dim diye fulkopi recipe', 'haser dim ranna', 'duck egg recipe', 'haser dim diye fulkopi recipe', 'gobi recipe', 'begun pora recipe', 'duck egg gravy']",2024-12-23T11:23:32Z,154297,5013,238,,PT21M37S,hd,https://i.ytimg.com/vi/NPVv7H1bAIk/hqdefault.jpg
17,rAqmKGhiPKs,ARD Room Tour,Stephen und Torsten wohnen schon ihr ganzes Leben auf einem Schiff | ARD Room Tour,"['Frachtschiff', 'frachtschiff doku', 'Rheinschiffer', 'rheinschifffahrt', 'Rhein', 'Schiff', 'Schiffer', 'Schiffausbau', 'Schifferwohnung', 'Schifffahrt', 'Fluss', 'Binnenwasserstraße', 'Binnenschiff', 'Binnenschiffer', 'binnenschifffahrt', 'binnenschiffer ausbildung', 'binnenschiffer doku', 'Leben auf dem Schiff', 'Wohnen auf dem Wasser', 'wohnen auf dem boot', 'Boot', 'Hausboot', 'mobiles Haus', 'kleine Wohnung', 'kleine wohnung einrichten', 'tiny living', 'kleines Schlafzimmer', 'Kajüte', 'Gebrüder Mnich', 'Kallisto', 'roomtour', 'Room Tour', 'SWR Room Tour']",2022-05-29T14:00:12Z,401188,4187,224,,PT11M38S,hd,https://i.ytimg.com/vi/rAqmKGhiPKs/hqdefault.jpg
18,j3pDXY9fqSo,Chef Ranveer Brar,Aloo Paratha | आलू पराठा | Paratha Recipe | Mom style Aloo paratha | Chef Ranveer Brar,"['aloo ka paratha', 'आलू पराठा बनाने का नया और आसान तरीका', 'झटपट आलू पराठा', 'how to make aloo paratha', 'Lockdown recipes', 'आलू पराठा बनाने के 3 आसान तरीके', 'आलू पराठा बनाने के आसान तरीके', 'aloo ke parathe ki recipe', 'aloo paratha recipe in hindi', 'paratha recipe', 'punjabi aloo paratha recipe', 'stuffed paratha recipe', 'punjabi paratha', 'easy aloo paratha recipe', 'Trending recipes', 'aloo paratha recipe', 'aloo paratha with butter', 'lockdown recipes', 'best aloo paratha', 'paratha', 'aloo', 'Paratha recipe']",2019-06-07T03:57:43Z,4940692,,2987,,PT8M,hd,https://i.ytimg.com/vi/j3pDXY9fqSo/hqdefault.jpg
19,HkTZMqa4nEU,BakeClub,Cappuccino No Bake Cake | BakeClub,"['backen', 'bakeclub', 'bake club', 'rezept', 'backrezept', 'rezepte', 'backrezepte', 'kuchen backen', 'cupcakes', 'kuchen', 'muffins', 'torte', 'cappuccino no bake cake', 'no bake cake', 'cappuccino', 'no bake', 'ohne backen', 'cappuccino no bake cake rezept', 'cappuccino no bake cake selber machen', 'cappuccino kuchen', 'cappuccino torte', 'cappuccino torte rezept', 'cappuccino kuchen rezept', 'cappuccino kuchen selber machen', 'cappuccino torte selber machen', 'cappuccino kuchen backen', 'cappuccino torte backen', 'no bake cake cappuccino']",2017-01-29T09:00:01Z,93844,2017,109,,PT6M18S,hd,https://i.ytimg.com/vi/HkTZMqa4nEU/hqdefault.jpg
20,0jff7PsnXcI,HGTV Home,Your Favorite Home Tours in 2021 | Handmade Home Tours,"['Home tours', 'virtual home tours', 'handmade home', 'handmade homes', 'rajiv surendra', 'tour my home', 'compilation videos', 'design videos', 'interior design', 'interior design diy', 'home tour compilations', 'visit this home', 'tour this home', 'hgtv', 'handmade', 'diy']",2021-12-28T17:00:01Z,282837,4348,132,,PT54M53S,hd,https://i.ytimg.com/vi/0jff7PsnXcI/hqdefault.jpg
21,NPDCTEdYftE,Vijay Ideas,டெய்லி காலண்டர் Extra இருந்தா இத செஞ்சு பாருங்க!🔥📆,,2024-12-22T12:39:27Z,948453,46200,1174,,PT57S,hd,https://i.ytimg.com/vi/NPDCTEdYftE/hqdefault.jpg
22,yR9rtNQL_zc,DirectSMVideos,🔴 SupremeMasterTV [1+132×MAX] - LIVE 24/7,,2024-12-06T23:20:59Z,36065,382,,,P0D,sd,https://i.ytimg.com/vi/yR9rtNQL_zc/hqdefault_live.jpg
23,Zu4tasDHr48,岡野タケシ弁護士【アトム法律グループ】,【衝撃】通販で購入したブーツ→袋の中にサソリが入ってた！？#shorts,"['岡野武志', 'アトム法律事務所', '弁護士', '法律', 'サソリ', 'shien']",2024-12-23T09:00:38Z,231525,6044,372,,PT52S,hd,https://i.ytimg.com/vi/Zu4tasDHr48/hqdefault.jpg
24,618OR7kAjNM,Aysha Siddika,চাল কুমড়ার মোরব্বা || Chal Kumrar Murobba Recipe Bangla || Petha/ Ash Gourd/ Winter Melon Candy,"['চাল কুমড়ার মোরব্বা', 'Chal Kumrar Murobba Recipe Bangla', 'pumpkin murabba', 'winter melon candy', 'petha', 'chalkumra bengali recipes', 'how to make murabba of pumpkin in bangla', 'ash gourd sweet recipes', 'ash gro', 'Chal Kumrar Morobba', 'Murubba', 'Candied Winter Melon', 'ayshasrecipe', 'Ash gourd', 'morobba recipe bangla', 'aysha siddika recipe', 'morobba by aysha', 'morobba', 'মোরব্বা', 'চাল কুমড়ার রেসিপি', 'chal kumra', 'chal kumro', 'chal kumra ranna', 'winter melon', 'চাল কুমড়া রান্না', 'চাল কুমড়া রেসিপি']",2018-05-01T18:36:31Z,5797936,54549,2534,,PT10M4S,hd,https://i.ytimg.com/vi/618OR7kAjNM/hqdefault.jpg
