,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url
0,UVCDnufjmOE,DW News,Zelenskyy: Russia's Missile attack on Kyiv aimed to humiliate the United Nations | Ukraine latest,"['DW News', 'russia', 'donbass', 'russia war', 'russia vs ukraine', 'russia ukraine war', 'war update', 'kyiv', 'ukraine', 'russian army', 'russian military', 'war in ukraine', 'ukraine news', 'russian attack on ukraine', 'ukraine war', 'ukraine latest', 'putin', 'ukraine update', 'mariupol']",2022-04-29T09:58:15Z,850066,6706,3521,,PT18M21S,hd,https://i.ytimg.com/vi/UVCDnufjmOE/hqdefault.jpg
1,j4VmnCZPIko,DW Español,DW Noticias del 04 de mayo: Alto el fuego [Noticiero completo],,2022-05-04T23:43:59Z,315873,3337,464,,PT25M53S,hd,https://i.ytimg.com/vi/j4VmnCZPIko/hqdefault.jpg
2,HoYsWagMFfE,ABN Telugu ,ABN Telugu News LIVE || Telugu News Live Updates | ABN Telugu,"['haryana election 2024', 'haryana election result 2024', 'jammu kashmir election 2024', 'haryana election result live', 'haryana elections 2024', 'haryana assembly elections 2024', 'assembly election 2024 result', 'haryana assembly election result jammu kashmir assembly election', 'jammu kashmir election', 'jammu kashmir elections', 'jammu and kashmir election', 'jammu kashmir election result', 'jammu and kashmir', 'jammu kashmir election results live', 'ap elections 2024 live', 'abn', 'abn live']",2024-05-15T09:21:45Z,81529446,41803,0,,P0D,sd,https://i.ytimg.com/vi/HoYsWagMFfE/hqdefault_live.jpg
3,W-Q9AOp2FW8,FRONTLINE PBS | Official,"Money, Power and Wall Street, Part One (full documentary) | FRONTLINE",,2021-08-13T23:00:09Z,6462328,47018,4229,,PT53M19S,hd,https://i.ytimg.com/vi/W-Q9AOp2FW8/hqdefault.jpg
4,zjWaXog1xDU,DW News,Ukraine says it repelled Russian forces at battle in Kyiv suburbs | Ukraine latest,"['kyiv live', 'kyiv', 'ukraine war', 'ukraine conflict', 'ukraine invasion', 'ukraine timeline', 'ukraine russia', 'russia invasion', 'war in ukraine', 'airstrikes', 'russia ukraine', 'russia-ukraine conflict', 'ukraine latest', 'ukraine news', 'russia ukraine war', 'kyiv news']",2022-03-22T08:26:48Z,1606657,11960,2707,,PT24M32S,hd,https://i.ytimg.com/vi/zjWaXog1xDU/hqdefault.jpg
5,_ZDEWVJan0s,Bloomberg Originals,The Wild $50M Ride of the Flash Crash Trader,"['News', 'bloomberg', 'Quicktake', 'Businessweek', 'BW', 'Storylines', 'flash crash', 'hound of hounslow', 'documentary']",2020-11-24T15:34:12Z,4913478,76590,10116,,PT24M43S,hd,https://i.ytimg.com/vi/_ZDEWVJan0s/hqdefault.jpg
6,1r8w9BHzCSo,DW News,US says Russia is taking hundreds of casualties daily | Ukraine Update,['DW News'],2022-07-22T20:01:39Z,349701,4914,2096,,PT6M,hd,https://i.ytimg.com/vi/1r8w9BHzCSo/hqdefault.jpg
7,tIY7jxd7GAY,FRONTLINE PBS | Official,The Trouble with Chicken (full documentary) | FRONTLINE,,2021-11-17T00:00:13Z,3162083,36346,5252,,PT53M18S,hd,https://i.ytimg.com/vi/tIY7jxd7GAY/hqdefault.jpg
8,N8_S8fbtGg0,NBC News,Morning News NOW Full Broadcast - May 12,['NBC News NOW'],2022-05-12T15:45:01Z,274688,832,189,,PT52M22S,hd,https://i.ytimg.com/vi/N8_S8fbtGg0/hqdefault.jpg
9,kXGS0Yu1lLQ,DW Español,Rusia cierra un poco más el grifo del gas a Europa,"['Rusia', 'Ucrania', 'guerra de Ucrania', 'gas', 'Gazprom', 'Nord Stream 1', 'gasoducto', 'Alemania', 'sanciones', 'Economía', 'DW Noticias']",2022-06-15T00:40:52Z,283906,4437,1190,,PT12M1S,hd,https://i.ytimg.com/vi/kXGS0Yu1lLQ/hqdefault.jpg
10,T0NINJOuaf4,DW News,The German sauna culture – nudity and all | Meet the Germans,"['Germany', 'German', 'culture shock', 'German culture', 'learning German', 'sauna', 'nude sauna', 'nudity', 'german sauna', 'sauna german', 'sauna etiqutte']",2018-12-05T08:40:02Z,12168601,20933,1882,,PT2M53S,hd,https://i.ytimg.com/vi/T0NINJOuaf4/hqdefault.jpg
11,vcTvDZa_S4Q,CBS Sunday Morning,"Reese Witherspoon and Delia Owens on ""Where the Crawdads Sing""","['CBS Sunday Morning', 'CBS News', 'news', 'novel', 'writer', 'author', 'adaptation', 'film']",2022-07-10T13:58:00Z,369993,3757,244,,PT8M37S,hd,https://i.ytimg.com/vi/vcTvDZa_S4Q/hqdefault.jpg
12,bf45I86gvA0,DW Español,DW Noticias 2 de febrero: La Unión Europea promete más integración de Ucrania en el bloque,['DW Noticias'],2023-02-03T02:11:37Z,181918,3173,456,,PT27M21S,hd,https://i.ytimg.com/vi/bf45I86gvA0/hqdefault.jpg
13,Bjz4hPLOAek,NBC News,Morning News NOW Full Broadcast - May 24,['NBC News NOW'],2022-05-24T15:25:50Z,210063,529,65,,PT49M21S,hd,https://i.ytimg.com/vi/Bjz4hPLOAek/hqdefault.jpg
14,I4DSeKhIAEY,DW News,Moldova fears spill-over of Russia's war with Ukraine | DW News,"['DW News', 'moldova', 'russia moldova', 'trans dniester', 'moldova ukraine', 'ukriane moldova', 'moldova war']",2022-04-29T12:12:34Z,181722,2316,893,,PT3M4S,hd,https://i.ytimg.com/vi/I4DSeKhIAEY/hqdefault.jpg
15,y7CM9Swrx-U,CNN,"Jan. 6 panel asked for Alex Jones' phone records, according to attorney","['latest News', 'Happening Now', 'CNN', 'Alisyn Camerota', 'CNN Newsroom', 'Drew Griffin', 'Elie Honig', 'Harry Litman', 'Areva Martin', 'Alex Jones', 'Mark Bankston', 'Judge Maya Guerra Gamble', 'Andino Reynal', 'Alex Jones Trial', 'Alex Jones Defamation Trial', 'Sandy Hook', 'Sandy Hook Parents', 'Gun Violence', 'School Shooting', 'Infowars']",2022-08-04T18:33:01Z,218560,3879,2570,,PT8M41S,hd,https://i.ytimg.com/vi/y7CM9Swrx-U/hqdefault.jpg
16,LF_jdHunRxs,Tritiyo Matra,"Tritiyo Matra Episode 4056, Guests: Yusuf Hussain Humayun and Mir Muhammad Nasiruddin.","['bangladesh', 'talk show', 'bangla talk show', 'best talk show', 'channel i', 'tritiyo matra', 'tritio matra', 'zillur rahman']",2019-08-04T04:19:15Z,257,6,0,,PT56M55S,hd,https://i.ytimg.com/vi/LF_jdHunRxs/hqdefault.jpg
17,KxeR0hxmsGw,ZDFheute Nachrichten,USA: Tödliche Waffen  - selbst gebaut und waffenscheinfrei I auslandsjournal,"['auslandsjournal usa', 'USA', 'amerika', 'waffen', 'ghostguns', 'geisterwaffen', 'freiheit', 'schusswaffen', 'pistole', 'biden', 'politik', 'waffenpolitik', 'auslandsjournal', 'zdf', 'zdf auslandsjournal', 'antje pieper', 'news', 'nachrichten', 'nachrichten ausland', 'zdfheute', 'zdf news', 'zdf nachrichten', 'zdf heute']",2022-05-22T07:00:04Z,312765,2396,564,,PT6M16S,hd,https://i.ytimg.com/vi/KxeR0hxmsGw/hqdefault.jpg
18,DFBjck8S__Y,Al Jazeera English,Who is Vladimir Putin? | Start Here,"['Vladimir Putin', 'Vladimir zelensky', 'Vladimir Putin speaking english', 'vladimir andniki', ""putin's place"", 'putin', 'putin walk', 'putin putout', 'ptin speaking english', 'is putin dead', 'putin dead', 'putin shaking video', 'putin coup', 'vladimir putin speaking english', 'putin latest news', 'putin sick', 'putin health problems', 'wide putin song', 'putin palace', 'putin news', 'putin song', 'wide putin', 'putin documentary', 'putin cancer', 'start here', 'al jazeera english', 'al jazeera news', 'russia invasion']",2022-06-15T13:00:12Z,1206477,15961,4245,,PT15M8S,hd,https://i.ytimg.com/vi/DFBjck8S__Y/hqdefault.jpg
19,qF5fWh0FdVI,NBC News,Growing Concern Over Putin’s Next Move,"['Health', 'International News', 'Lester Holt', 'Making A Difference', 'NBC Nightly News', 'National News', 'News', 'Nightly News', 'U.S. News', 'breaking news', 'evening news', 'politics', 'world news']",2022-03-02T01:15:01Z,537985,3857,1531,,PT2M3S,hd,https://i.ytimg.com/vi/qF5fWh0FdVI/hqdefault.jpg
20,biYPmf-vqD8,DW News,Three foreign fighters sentenced to death by separatist pro-Russia court | DW News | DW News,['DW News'],2022-06-09T20:38:13Z,334420,3927,1869,,PT10M10S,hd,https://i.ytimg.com/vi/biYPmf-vqD8/hqdefault.jpg
21,O8wOLN3pvMU,TIMES NOW Navbharat,News Ki Pathshala | Sushant Sinha : मिडिल क्लास की कमर तोड़ते सिस्टम का इलाज कब करेंगे PM मोदी?,"['gst council', 'gst council meeting', 'gst council meeting 2024', 'gst council meeting today', 'gst council meeting update', 'gst council meet', '54th gst council meeting', '2024 gst council meeting', 'gst council meeting highlights', 'gst council meeting news', 'gst council meeting in 2024', '55th gst council meeting 2024', 'gst', 'gst council meeting live', '55th gst council meet press conference', 'pm modi', 'news ki pathshala', 'sushant sinha']",2024-12-23T17:45:04Z,283237,6956,3746,,PT11M18S,hd,https://i.ytimg.com/vi/O8wOLN3pvMU/hqdefault.jpg
22,dgEM891pGfg,TODAY,These ‘Moxi’ Girls Are Lacing Up To Revive The Pastime Of Roller Skating | TODAY,"['Big News', 'Pop Culture', ""Editor's picks"", 'Sunday TODAY']",2017-07-02T17:37:44Z,184058,3086,147,,PT3M46S,hd,https://i.ytimg.com/vi/dgEM891pGfg/hqdefault.jpg
23,S6P1gk3rDSw,DW Español,DW Noticias del 25 de diciembre: Blanca Navidad de EE. UU. [Noticiero completo],,2022-12-26T00:30:09Z,372687,4685,236,,PT14M57S,hd,https://i.ytimg.com/vi/S6P1gk3rDSw/hqdefault.jpg
24,zXEf5vNJlqo,DW News,US: Russia plans to annex more Ukrainian territory | Ukraine latest,"['DW News', 'ukraine', 'russia ukraine', 'war in ukraine', 'donbas', 'Kramatorsk']",2022-07-20T08:24:41Z,302881,3382,1946,,PT6M55S,hd,https://i.ytimg.com/vi/zXEf5vNJlqo/hqdefault.jpg
25,O1dAzWGdI9M,DW Español,Cientos de miles de rusos abandonaron su país para evitar la guerra,"['rusia', 'ucrania', 'guerra']",2023-03-25T22:17:18Z,406555,6762,1400,,PT6M30S,hd,https://i.ytimg.com/vi/O1dAzWGdI9M/hqdefault.jpg
26,_EfxVerM4EM,DW Español,Tras la liberación de Jersón la guerra en Ucrania entra en una nueva fase  | A fondo DW,"['A fondo', 'Debates DW', 'ucrania', 'rusia', 'guerra', 'Jersón', 'retirada rusa', 'hinnerk berlekamp', 'amir valle', 'alexandra sitenko', 'jenny perez', 'Polonia', 'Putin', 'OTAN', 'misiles', 'Zelenski']",2022-11-17T20:30:11Z,743573,9426,1896,,PT42M36S,hd,https://i.ytimg.com/vi/_EfxVerM4EM/hqdefault.jpg
27,LUzlFChJQ4M,DW Español,DW Noticias del 05 de octubre: Ucrania recupera territorio. (Noticiero completo),,2022-10-05T23:30:02Z,429256,7271,688,,PT24M28S,hd,https://i.ytimg.com/vi/LUzlFChJQ4M/hqdefault.jpg
28,SWDNxZg3a60,펜앤드마이크TV,누구 맘대로 조기대선? 선관위가 건방지기 짝이 없다,,2024-12-23T08:01:21Z,163426,24530,1140,,PT54S,hd,https://i.ytimg.com/vi/SWDNxZg3a60/hqdefault.jpg
29,qO2d9FpBzDI,CNBC,Who Is Winning The Global EV Race?,"['CNBC', 'business', 'news', 'finance stock', 'stock market', 'news channel', 'news station', 'breaking news', 'finance news', 'money', 'money tips', 'financial news', 'Stock market news', 'stocks', 'us news', 'world news', 'cable news', 'lithium ion battery', 'GM', 'Ford', 'cars', 'EV', 'battery shortage', 'energy', 'ample', 'electric vehicle battery', 'car batteries', 'cheaper EV', 'lithium metal batteries', 'electric cars', 'cobalt free batteries', 'Voltswagon', 'VW', 'lithium shortage', 'oil', 'tesla', 'batteries', 'Tesla', 'Lucid', 'rivian', 'china', 'europe']",2022-03-14T16:00:34Z,2371227,15872,3488,,PT49M5S,hd,https://i.ytimg.com/vi/qO2d9FpBzDI/hqdefault.jpg
30,Lfhvv9Dergg,Максим Кац,Как сбежать из закрытой страны | Инструкция по сборке воздушного шара (English subtitles) @Max_Katz,"['Кац', 'Максим Кац', 'побег', 'ГДР', 'воздушный шар', 'соцлагерь', 'Штази', 'свобода', 'граница', 'восточная Германия', 'западная Германия', 'холодная война', 'сопротивление', 'самодельный транспорт', 'воздушное путешествие', 'Пётер Стрельцик', 'Гюнтер Ветцель', 'амбиция', 'риск', 'выживание', 'семья', 'спецслужбы', 'тайна', 'безопасность', 'попытки', 'преследование', 'слежка', 'конструирование', 'препятствия', 'вдохновение', 'воссоединение Германии', 'диктатура', 'изоляция', 'история', 'исторический', 'немецкий']",2024-12-23T18:40:24Z,364862,16463,2428,,PT17M41S,hd,https://i.ytimg.com/vi/Lfhvv9Dergg/hqdefault.jpg
31,LzOUbeumEq8,DW News,How will Germany spend its massive €100 billion military budget? | DW News,"['trump', 'nato spending', 'nato military spending', 'military spending', 'nato germany', 'us germany', 'us germany relations', 'nato budget', 'military budget', 'germany military', 'bundeswehr', 'f-35', 'german army']",2022-03-30T09:19:46Z,441745,5433,2562,,PT8M17S,hd,https://i.ytimg.com/vi/LzOUbeumEq8/hqdefault.jpg
32,L6T2DKSqGvc,DW News,Energy crisis: How Germany tries to shield itself from Putin's power plays | DW News,"['DW News', 'Germany', 'Russia', 'Gas', 'Fossil fuels', 'Gazprom', 'Nordstream', 'Energy', 'Winter', 'Heating', 'Saving energy']",2022-07-29T09:02:24Z,160828,1992,1781,,PT6M27S,hd,https://i.ytimg.com/vi/L6T2DKSqGvc/hqdefault.jpg
33,jHCTPuibMW4,Tritiyo Matra,"Tritiyo Matra Episode 4083, Guests: Saleh Ahmed Teeta and Syeda Ashifa Ashrafi Papia.","['bangladesh', 'politics', 'bangladeshi politics', 'talk show', 'bangla talk show', 'best talk show', 'political talk show', 'channel i', 'tritiyo matra', 'tritio matra', 'zillur rahman']",2019-09-01T05:23:09Z,5265,60,5,,PT45M7S,hd,https://i.ytimg.com/vi/jHCTPuibMW4/hqdefault.jpg
34,5dY6QflURl0,Invest in Bavaria,Discover cross-industry innovation in Fin- & InsurTech in Bavaria,"['Invest', 'Bavaria', 'fintech', 'finance', 'insurance', 'investment']",2021-09-10T13:55:32Z,5595123,0,1,,PT38S,hd,https://i.ytimg.com/vi/5dY6QflURl0/hqdefault.jpg
