,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url
0,HS0N4WQXkPo,Bispo Bruno Leonardo,ORAÇÃO FORTÍSSIMA COM O SALMO 91,"['Oração', 'Oração da noite', 'bispo bruno Leonardo', 'Bispo bruno Leonardo oração da noite', 'Bispo bruno ao vivo', 'Bispo bruno ao vivo agora', 'oração de hoje', 'live Bispo bruno Leonardo', 'salmo 91', 'Salmo 91 bispo bruno Leonardo', 'bispo Bruno Leonardo ao vivo hoje', 'Salmo 23', 'salmo 23 bispo Bruno', 'Leonardo']",2024-12-21T20:58:07Z,1459548,483197,373765,,PT11M17S,hd,https://i.ytimg.com/vi/HS0N4WQXkPo/hqdefault.jpg
1,ugwezczQM-8,Focus on the Family,Standing Strong Against the Cancel Culture - Senator Josh Hawley,"['senator josh hawley', 'senator josh hawley youtube', 'josh hawley', 'josh hawley interview', 'senator josh hawley interview', 'standing strong against the cancel culture', 'senator josh hawley cancel culture', 'cancel culture', 'lovingly take a stand for biblical values', 'firmly take a stand for biblical values', 'taking a stand for biblical values', 'focus on the family', 'focus on the family broadcast youtube', 'focus on the family broadcast', 'focus on the family youtube', 'focus broadcast']",2021-02-04T10:00:17Z,545339,23823,2439,,PT25M21S,hd,https://i.ytimg.com/vi/ugwezczQM-8/hqdefault.jpg
2,vp8giEermfY,TEDx Talks,How I make machines see the 3D world | Daniel Cremers | TEDxTUM,"['AI', 'Algorithm', 'Computers', 'English', 'Math', 'TEDxTalks', 'Technology', 'Vision']",2021-12-02T21:52:58Z,11655,393,19,,PT15M29S,hd,https://i.ytimg.com/vi/vp8giEermfY/hqdefault.jpg
3,FgvOQ2V9cps,Focus on the Family,A Pregnant Mother's Reaction to a Wrong Diagnosis | Seize This Pro-Life Moment™,"['focus on the family', 'seize this pro-life moment', 'deformed baby', 'pro-life', 'no matter what', 'baby born with', 'deformed child', 'congenital disability', 'babies born with disabilities', 'how are babies born with disabilities', 'unexpected birth defects', 'baby has', 'dealing with birth defects', 'baby born with disability', 'congenital defects', 'deformed fetus', 'deformed newborn babies', 'pro-life without exception', 'can you be born with']",2022-05-17T00:00:18Z,189411,211,23,,PT3M58S,hd,https://i.ytimg.com/vi/FgvOQ2V9cps/hqdefault.jpg
4,_lOxNxTg8ng,Истином против Издаје (Литије - монах Антоније),144. Литија: Не постоје спонтани масовни протести нити полиција која служи народу,"['Литије', 'Влада', 'Србија', 'monah antonije', 'monah antonije 2016', 'monah antonije balkan info', 'монах антоније', 'Свакодневни протести', 'Svakodnevni protesti', 'Beograd', 'Valjevo', 'Srbija', 'Vlada', 'RS', 'Београд', 'Ваљево', 'РС', 'Потапање', 'Манастира', 'у', 'Ваљеву', 'Potapanje', 'Manastira', 'Monah Antonije/Govor ispred vlade Srbije', 'Monah Antonije/Govor ispred vlade RS u', 'Valjevu', 'Monah', 'Antonije', 'Govor', 'Ispred', 'Vlade', 'Српска Патријаршија', 'Srpska Patrijaršija', 'гусле', 'Влада Србије', 'Патријарх', 'Црква', 'Истина']",2018-12-15T21:43:19Z,1762,72,18,,PT14M16S,hd,https://i.ytimg.com/vi/_lOxNxTg8ng/hqdefault.jpg
5,8J4bW9EA3cg,Hope TV Deutsch,So stärkst du dein Immunsystem | Kleine Kräuterkunde,"['hopetv', 'hopechannel', 'Kleine Kräuterkunde', 'Ruth Pfennighaus', 'Kräuterkunde', 'Naturdoku', 'Heilkräuter', 'Kräutergarten', 'Kräuter', 'Ganzheitliche Gesundheit', 'christliche Naturdoku', 'Gabi Pratz', 'Natur und Glaube', 'Hope Media', 'Hope TV', 'Heilpflanzen', 'gartenkräuter', 'kräuterfrau', 'immunsystem', 'immunstark']",2022-05-23T15:01:06Z,40682,2031,46,,PT14M47S,hd,https://i.ytimg.com/vi/8J4bW9EA3cg/hqdefault.jpg
6,sKFV2Olp3cw,Hayat,Ek feat Hayat - Von Wedding bis nach Tempelhof ( OFFICIAL VIDEO),"['Ek', 'EKzellent', 'Hayat', 'Matondo', 'Von', 'Wedding', 'bis', 'nach', 'Tempelhof', '42', '65', 'Moviekit']",2015-05-31T16:04:03Z,244261,4051,259,,PT2M36S,hd,https://i.ytimg.com/vi/sKFV2Olp3cw/hqdefault.jpg
7,4XP_K4wLzBg,stern TV,Patricia Kelly und Gregor Gysi im Talk - Knochenjob Kinderkrankenschwester | stern TV,"['stern tv patricia kelly', 'patricia kelly stern tv', 'stern tv pflegenotstand', 'stern tv kelly', 'stern tv knochenjob', 'stern TV', 'sternTV', 'Reportage', 'Doku', 'Dokumentation', 'Fernsehen', 'Deutsch', 'kelly family', 'Patricia Kelly', 'Talk', 'Knochenjob', 'Kinderkrankenschwester', 'gregor gysi', 'gysi', 'kelly', 'pflegenotstand', 'Talkshow', 'Interview', 'patricia kelly', 'the kelly family', 'steffen hallaschka', 'ross antony']",2018-08-16T05:49:42Z,19791,259,37,,PT9M3S,hd,https://i.ytimg.com/vi/4XP_K4wLzBg/hqdefault.jpg
8,89WTEk4zwRU,Stand Together,How Do You Transform the Justice System? By Listening.,,2022-03-31T21:00:07Z,235769,55,9,,PT6M42S,hd,https://i.ytimg.com/vi/89WTEk4zwRU/hqdefault.jpg
9,7s2tjV8lWZU,DW Español,Los paramédicos ucranianos llegan hasta el frente para evacuar a soldados heridos,"['Ucrania', 'guerra', 'trincheras', 'paramédicos', 'frente', 'bombardeos']",2023-01-03T13:13:17Z,47066,928,187,,PT3M37S,hd,https://i.ytimg.com/vi/7s2tjV8lWZU/hqdefault.jpg
