,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url
0,zAKxG6m00_Q,Power Rangers für Kinder - Offiziellen Kanal,Power Rangers für Kinder | Dino Super Charge | Ganze Folge | Ep.12 | Einige Strahlen fangen,"['power rangers', 'power rangers deutsch', 'power ranger', 'power rangers beast morphers', 'power rangers intro', 'pauer rangers auf deutsch', 'power rangers beast morphers auf deutsch', 'power rangers auf deutsch', '#powerrangers', 'power rangers deutsch ganze folge', 'power rangers song', 'power rangers dino charge', '#gogopowerrangers', 'power rangers beast morphers deutsch', 'power ranger musik', 'power rangers beast morphers intro', 'power ranger auf deutsch', 'power ranger deutsch', 'power rangers samurai']",2021-03-08T08:00:30Z,423318,2663,0,,PT23M34S,hd,https://i.ytimg.com/vi/zAKxG6m00_Q/hqdefault.jpg
1,MBZ5qzOUw_o,Bayerischer Rundfunk,"Trotz Hitze, Kälte und Dreck: Traumberuf Maurerin | Schwaben & Altbayern | BR","['ausbildung', 'ausbildung maurer', 'baustelle', 'bauunternehmer', 'br fernsehen', 'frau als maurer', 'frauen handwerk', 'gesellenprüfung', 'handwerk ausbildung', 'ludwig hilmer', 'maurer azubi', 'maurerin', 'menschen', 'nachwuchsmangel', 'schwaben altbayern', 'br zwischen schwaben und altbayern', 'ausbildung in germany', 'ausbildung in deutschland', 'maurer ausbildung prüfung', 'ausbildung als maurer', 'maurer ausbildung beruf', 'ausbildung zum maurer', 'handwerksberufe frauen', 'frauen in handwerk und technik', 'frauen im handwerk']",2021-05-18T15:58:49Z,226989,2019,331,,PT8M27S,hd,https://i.ytimg.com/vi/MBZ5qzOUw_o/hqdefault.jpg
2,-0LhnjyeDok,DocPop,Best Kept Secret | Full Documentary,"['autism sensory video', 'autism song', 'autism calming music', 'autism symptoms', 'autism spectrum disorder', 'autism tiktok', 'autism in women', 'autism family', 'autism meltdown', 'autism kids', 'asd', 'autistic', 'what is autism', 'neurodiversity', 'mental health', 'aspergers', 'news', 'doc pop', 'documentary', 'best documentary', 'free documentaries', 'utopia', 'pop network', 'must see documentaries', ""don't miss"", 'autism', 'shorts', 'autism movie', 'life with autism', 'real world', 'best kept secret', 'free movie', 'graduation', 'special']",2023-09-01T12:00:09Z,3433,47,4,,PT1H25M28S,hd,https://i.ytimg.com/vi/-0LhnjyeDok/hqdefault.jpg
3,17sC0OgVLvs,SWR Landesschau Rheinland-Pfalz,Schlösser und Burgen in der Südeifel - Expedition in die Heimat | SWR Fernsehen,"['Rheinland-Pfalz', 'Pfalz', 'SWR', 'Landesschau', 'SWR Heimat', 'SWR Fernsehen', 'Reportage', 'Bericht', 'Doku', 'Spannende Menschen', 'Service', 'Ratgeber', 'Aus der Region', 'Schlösser', 'Burg', 'Südeifel']",2018-10-17T14:51:22Z,96119,767,47,,PT44M45S,hd,https://i.ytimg.com/vi/17sC0OgVLvs/hqdefault.jpg
4,hIOb9b-xspc,Max the Meat Guy,Duck & A Story #shorts,"['How to dry age duck', 'dry ager machine', 'should I get a dry ager', 'UX1000 dry ager', 'dry ager', 'duck', 'how to cook crispy duck', 'what is liquid gold', 'duck breast', 'how to cook duck', 'how long do I dry age duck', 'dry aged duck', 'max the meat guy', 'maxthemeatguy', 'max the meat guy TikTok', 'maxthemeatguy TikTok', 'what should I grill this weekend', 'what does dry aging do', 'keto dinner', 'keto recipe', 'pekin duck', 'what is a pekin duck', 'crispy duck', 'liquid gold', 'asmr', 'duck fat potatoes']",2021-05-17T19:30:03Z,6528413,309991,1971,,PT31S,hd,https://i.ytimg.com/vi/hIOb9b-xspc/hqdefault.jpg
5,ocMhlVaQjcc,PULS Reportage,Sind uns Behinderte egal? || Die Frage,"['die frage', 'behinderung', 'behinderte', 'menschen mit behinderung', 'inklusion', 'teilhabegesetz', 'gleichberechtigung']",2015-12-19T12:14:46Z,230695,3912,506,,PT29M45S,hd,https://i.ytimg.com/vi/ocMhlVaQjcc/hqdefault.jpg
6,fp4mPDkS5eI,SWR Landesschau Rheinland-Pfalz,"Binger Comedy Nights 2018: ""Waltraud und Mariechen"" alias Heissmann und Rassau | SWR Fernsehen","['Rheinland-Pfalz', 'Pfalz', 'SWR', 'Landesschau', 'SWR Heimat', 'SWR Fernsehen', 'Reportage', 'Bericht', 'Doku', 'Spannende Menschen', 'Service', 'Ratgeber', 'Aus der Region', 'Waltraud', 'Mariechen', 'Bingen', 'Comedy Night', 'Heissmann', 'Rassau']",2018-07-24T10:07:27Z,429998,2096,36,,PT27M19S,hd,https://i.ytimg.com/vi/fp4mPDkS5eI/hqdefault.jpg
7,5TbOAT004cA,Miguel ASSAL ,"Si ves esto en tu pechuga , no lo comas.#curiosidades #supervivencia #sabiasque",,2024-12-22T20:10:26Z,1349867,135522,843,,PT44S,hd,https://i.ytimg.com/vi/5TbOAT004cA/hqdefault.jpg
8,vFDWJIjqqBE,SRF Dokus & Reportagen,Frauen im Gefängnis – So leben weibliche Gefangene in der JVA Hindelbank | Reportage | SRF,"['srf dok', 'reporter', 'reportage', 'reporter srf', 'srf reporter', 'srf', 'doku', 'reportage schweiz', 'dok', 'dok srf', 'srf doku', 'doku schweiz', 'doku srf', 'frauengefängnis doku', 'frauengefängnis schweiz hindelbank', 'gefangenendilemma', 'gefängnis doku 2022', 'gefängnis doku schweiz', 'verbrechen doku', 'jva hindelbank', 'hindelbank frauengefängnis', 'brand hindelbank', 'gefängnis schweiz', 'srf reporter gefängnis', 'annette keller', 'jva', 'Justizvollzugsanstalt', 'gefängnisalltag', 'isolation', 'sicherheitsdienst doku']",2022-02-16T16:00:29Z,329972,2324,307,,PT32M38S,hd,https://i.ytimg.com/vi/vFDWJIjqqBE/hqdefault.jpg
9,bPtdJSkYIdI,Kikis Kitchen,San Sebastian Cheesecake - die Geschichte eines verbrannten Käsekuchens in Istanbul ... / Rezept,"['kikis rezepte', 'cooking', 'boiling', 'kuchen', 'herzhaftes', 'kochen', 'backen', 'rezepte', 'einfache rezepte', 'san sebastian cheesecake', 'san sebastian tarifi', 'san sebastian rezept', 'san sebastian cheesecake deutsch', 'san sebastian cheesecake recipe', 'original san sebastian cheesecake', 'foodtrends istanbul', 'foodtrends', 'trend torten', 'trendcake', 'trending cakes', 'torten backen', 'käsekuchen', 'vanille kuchen', 'vanilleextrakt', 'cremiger kuchen']",2020-01-05T09:00:10Z,2612478,47862,10322,,PT13M26S,hd,https://i.ytimg.com/vi/bPtdJSkYIdI/hqdefault.jpg
10,QS6dyANE01Y,Küma Tutorials,Socken häkeln für Anfänger  | mit Sockengarn | jede Größe,"['Häkeln', 'Häkeln lernen', 'Häkelanfänger', 'Socken häkeln', 'Socken häkeln für Anfänger', 'Socke', 'Socken Anleitung', 'Socken Stricken für Anfänger', 'Socks', 'easy crochet socks']",2022-04-07T16:00:22Z,444139,7029,384,,PT36M44S,hd,https://i.ytimg.com/vi/QS6dyANE01Y/hqdefault.jpg
11,h_DVdCSVTBI,viele Rezepte,Ich habe noch nie so leckere Eier mit Tomaten gegessen! Das einfachste Frühstück in 5 min #103,"['viele_Rezepte', 'rezept', 'rezepte', 'einfachste Frühstück in 5 minuten', 'Frühstück in 5 Minuten', 'Eier mit Tomaten', 'köstliches rezept', 'Eier', 'Tomaten', 'einfach zuzubereiten', 'leckeres Frühstück in 5 Minuten', 'mein lieblingseierrezept', 'einfaches aber leckeres', 'kochen möchten', 'einfache köstliche Rezept', 'super einfach zuzubereiten', 'rührei', 'rührei rezept', 'rührei machen', 'neue Frühstücksrezept', 'Neues Rezept', 'viele schnelle Rezepte', 'asmr', 'viele leckere Rezepte', 'kochrezepte', 'viele einfache Rezepte']",2021-10-30T17:27:08Z,19500364,146041,2570,,PT3M44S,hd,https://i.ytimg.com/vi/h_DVdCSVTBI/hqdefault.jpg
12,pf47LgbYWug,Die Maus,Wie funktioniert ein 3D-Drucker? | DieMaus | WDR,"['3D-Drucker', '3D Drucker', '3D', 'Wie funktioniert ein 3D-Drucker', '3-D-Drucker', 'drucken in 3D', 'Dreidimensional', 'Digital', 'Modellbau', 'Modell drucken', '3D Modell drucken', 'Sachgeschichte', 'Sachgeschichten', 'Sendung mit der Maus', 'DieMaus', 'Die Sendung mit der Maus']",2021-03-01T19:30:01Z,604602,1644,0,,PT4M53S,hd,https://i.ytimg.com/vi/pf47LgbYWug/hqdefault.jpg
13,nIURgw7pSio,ろこまこあこチャンネル,3姉妹で誰が1番〇〇？？1番トイレに行く回数が多いのは？1番スマホを触ってる時間が長いのは？#Shorts,"['ろこまこあこ', 'ろこ', 'まこ', 'あこ', '三姉妹', '双子', 'ろこまこあこチャンネル']",2024-12-23T09:00:48Z,304035,17170,298,,PT36S,hd,https://i.ytimg.com/vi/nIURgw7pSio/hqdefault.jpg
14,yt0fxHkB4K4,Grill Nation,Jalapeño Bacon Cheeseburger 🍔 |Grill Nation,,2022-02-27T19:30:43Z,686188,37611,263,,PT1M,hd,https://i.ytimg.com/vi/yt0fxHkB4K4/hqdefault.jpg
15,slHQk_HSVdE,follow me.reports,So hart ist die Ausbildung zum Butler,"['butler schule', 'butler camp', 'butler akademie', 'butler reportage', 'butler doku', 'butler ausbildung', 'butler streng', 'butler prüfung', 'butler abschluss', 'butler diplom', 'butler job', 'butler diener', 'butler dienende', 'butler dienst', 'butler alltag', 'butler leben', 'butler lernen', 'butler perfektion', 'butler james', 'dinner for one', 'das perfekte dinner', 'international butler academy', 'wie werde ich butler']",2019-11-27T14:17:12Z,1434404,34597,2449,,PT16M35S,hd,https://i.ytimg.com/vi/slHQk_HSVdE/hqdefault.jpg
