Unnamed: 0,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url,hue,saturation,lightness
0,vPz5TJCv2KQ,InsecthausTV (Insecthaus),Mantis and Scorpion,"['Mantis', 'insect', 'scorpion', 'insects', 'bug', 'bugs', 'nature', 'natgeo', 'adrian kozakiewicz', 'insecthaus', 'viral', 'video']",2017-02-02T18:10:05Z,304151,5842.0,213.0,,PT45S,hd,https://i.ytimg.com/vi/vPz5TJCv2KQ/hqdefault.jpg,262.7845764160156,0.14082428812980652,0.22771531343460083
1,MyIgfxzCPz8,BBC Earth,Landmine-Sniffing Elephants | The Long Walk Home | BBC Earth,"['bbc documentary', 'bbc', 'bbcearth', 'bbc earth', 'elephants', 'elephant', 'kalahari elephants', 'elephant documentary', 'kalahari documentary', 'Elephant family', 'Elephant Highway', 'Mother Elephant', 'elephant families', 'Elephant Drinking', 'Ivory Trade', 'Landmines', 'Landmine Documentary', 'Elephant sense of smell', 'Angola', 'Angola Documentary', 'Angola Elephants']",2019-06-01T16:00:04Z,82445,1550.0,82.0,,PT3M26S,hd,https://i.ytimg.com/vi/MyIgfxzCPz8/hqdefault.jpg,226.3459930419922,0.38328617811203003,0.26028791069984436
2,QXWXI2ER9Ro,Serengeti-Park,„Wie reagieren Löwen wenn sie sich selbst im Spiegel sehen?“ Der Serengeti-Park zeigt es!,"['Serengeti-Park', 'Hodenhagen', 'Freizeitpark', 'Tierpark', 'Zoo', 'Löwen', 'Behavioral Enrichment', 'lions', 'animals', 'wild animals', 'wildlife', 'Serengeti', 'Safari']",2015-07-30T08:12:58Z,15355177,79024.0,4129.0,,PT5M52S,hd,https://i.ytimg.com/vi/QXWXI2ER9Ro/hqdefault.jpg,204.75856018066406,0.38706347346305847,0.20768676698207855
3,A1cgUjRfyYQ,AaronsAnimals,When your cat thinks he’s Mufasa #ad See Mufasa: Lion King in theaters December 20!,,2024-12-19T14:00:16Z,1956539,93000.0,378.0,,PT40S,hd,https://i.ytimg.com/vi/A1cgUjRfyYQ/hqdefault.jpg,210.1320343017578,0.11558541655540466,0.2821773588657379
4,765t1p9IycA,KeS Well,"Rescue a deer, and then #animalshorts #shortvideo #animalrescue",,2024-12-21T14:38:12Z,303513,18831.0,114.0,,PT1M,hd,https://i.ytimg.com/vi/765t1p9IycA/hqdefault.jpg,221.3185577392578,0.3145938217639923,0.28681254386901855
5,s1rFKsE1hto,wocomoWILDLIFE,Chantilly : les plus belles écuries du monde - Mes grandes écuries,"['musée vivant du cheval', 'Picardie', 'Musée du cheval', 'PLAY_CH', 'Haute École', 'chevaux de Chantilly', 'grandes écuries', 'équitation', 'Morgane Michot', 'Lussien Gruss', 'Séverine Aubert', 'Yves Bienaimé', 'cheval de trait', 'cheval', 'palefrenier', 'Jean-Louis Gouraud', 'cavalier', 'château de Chantilly', 'Musée Condé', 'PLAY_FR', 'Sophie Bienaimé', 'Nicole Garnier', 'Chevaux', 'Louis Henri de Bourbon', 'Elodie Jacquet', 'spectacle équestre', 'Benjamin Grain', 'cheval de selle', 'stalles', 'Sophie Justin', 'voltige', 'Oise']",2017-07-01T12:00:05Z,157773,1708.0,56.0,,PT49M11S,hd,https://i.ytimg.com/vi/s1rFKsE1hto/hqdefault.jpg,222.76229858398438,0.2563101649284363,0.4041365683078766
6,7ziD5dR3iDk,Nature Bites,Has David Attenborough Found a RECORD BREAKING Plant?! | Nature Bites,"['Kew Gardens exhibit', 'Kingdom of Plants series', 'amazing botany facts', 'beautiful plants', 'biodiversity exploration', 'botanical marvels', 'botanical wonders', 'botany exploration', 'fascinating flora', 'green world wonders', 'natural habitat exploration', 'nature discovery channel', 'plant kingdom exploration', 'plant reproduction', 'plant science', 'stunning plants', 'titan arum flower']",2022-02-09T17:30:01Z,352171,6061.0,305.0,,PT4M52S,hd,https://i.ytimg.com/vi/7ziD5dR3iDk/hqdefault.jpg,216.26007080078125,0.37032878398895264,0.24166123569011688
7,_Z0HLgFyeR0,The Dodo,Random Cat Keeps Walking With Woman And Her Dogs | The Dodo,"['animal video', 'animals', 'the dodo', 'Animal Rescue', 'dodo', 'cute animals', 'pets', 'wildlife', 'pet videos', 'wildlife videos', 'animals the dodo', 'the dodo animals', 'rescuing animals']",2024-12-20T14:00:40Z,425348,5284.0,169.0,,PT1M44S,hd,https://i.ytimg.com/vi/_Z0HLgFyeR0/hqdefault.jpg,214.52813720703125,0.24132104218006134,0.3302946090698242
8,uMDrXHS1HDY,Animal Islands,"Monkey BobBob doing washing machine eat eggs ,fruit animals videos.","['five little monkeys', 'monkey', 'animal ht', 'bon bon', 'puppy', 'duckling', 'little monkey', 'baby monkey', 'cake', 'food', 'fruit', 'animal funny', 'monkey video', '#babymonkey', 'monkey baby', 'baby', 'Little Monkey Bon Bon doing shopping in cake store and eat fruit funny with the puppy', 'monkey videos', 'animals', 'monkeys', 'animal', '#ducks', 'बंदर', 'monyet', 'baby monkey bon bon', 'funny animal videos', 'ducks', 'funniest ducks', 'ducks in the cave', 'harvest fruit on the farm', 'Stolen Egg', 'Monkey doing washing machine', 'washing machine']",2021-11-24T11:28:51Z,1921678,5754.0,97.0,,PT4M,hd,https://i.ytimg.com/vi/uMDrXHS1HDY/hqdefault.jpg,277.547119140625,0.44348257780075073,0.47504743933677673
9,MBZ1sKnI3HY,Insider Tech,Why Declawing Your Cat Is Actually Very Painful For Them,"['Tech Insider', 'TI', 'Tech', 'Science', 'Innovation', 'Digital culture', 'Cats', 'Declawing', 'Declawing Cat', 'Pets', 'Animal']",2017-01-05T15:00:02Z,352913,4583.0,1833.0,,PT2M3S,hd,https://i.ytimg.com/vi/MBZ1sKnI3HY/hqdefault.jpg,240.2097625732422,0.2811838686466217,0.32068297266960144
10,wtXXYwxfE_k,Feline Fanatics,8 Simple Things That Will Transform Your Cat's Life,"[""Simple Things That Will Transform Your Cat's Life"", 'how to make my cat happy', ""ways to improve my cat's life"", 'tips for a happy cat', ""how to transform my cat's life"", 'simple ways to care for my cat', ""how to make my cat's life better"", 'life-changing tips for cats', 'easy cat care tips', ""how to enrich my cat's life"", 'better care for my cat', 'secrets to a happy cat', 'simple cat care ideas', 'cat lovers society', 'cat lovers channel', 'cat lovers tv', 'cat pshycology', 'cat fan lovers', 'cat', 'ca']",2024-12-20T18:00:43Z,21594,583.0,23.0,,PT9M5S,hd,https://i.ytimg.com/vi/wtXXYwxfE_k/hqdefault.jpg,332.82818603515625,0.26461365818977356,0.3040837347507477
11,DyjELXCJkGo,Animal Planet Latinoamérica,Atrapando y trasladando a diez caimanes enormes | Los Irwin: Robert al rescate | Animal Planet,"['animal planet', 'animal planet en español', 'animal planet latinoamérica', 'como puedo ver animal planet en español', 'documentales animales', 'ver animal planet en español', 'ver animal planet en español latino', 'robert irwin', 'los irwin', 'Terri Irwin', 'Steve Irwin', 'Ver Los Irwin Al Rescate', 'Bindi Irwin', 'Animales salvajes', 'zoológico']",2022-06-20T22:45:01Z,1120672,12785.0,131.0,,PT12M51S,hd,https://i.ytimg.com/vi/DyjELXCJkGo/hqdefault.jpg,121.79093933105469,0.2552958130836487,0.4457896053791046
12,TdWOieNZvTo,Real Stories Deutschland,Die Unterwasser Giganten | Tiefsee Doku | Real Stories Deutschland,"['tiefsee', 'hai doku', 'weißer hai', 'wal doku', 'meereslebewesen', 'meeres doku deutsch', 'meeres dokumentation', 'meer doku tiere', 'der weiße hai', 'im reich der tiefe', 'tiefen des meeres doku', 'tierangriff', 'tier doku', 'tiefsee doku', 'meeres doku', 'meer doku', 'tier dokumentation', 'ozean doku deutsch', 'apnoe taucher doku', 'tierangriffe', 'apnoe taucher', 'ozean doku', 'korallenriff', 'meer', 'ozean', 'doku deutsch', 'dokumentation deutsch', 'dokumentation', 'doku', 'real stories', 'taucher', 'doku 2024', 'Ozean doku 2024']",2022-11-30T17:00:24Z,426771,2358.0,96.0,,PT1H30M24S,hd,https://i.ytimg.com/vi/TdWOieNZvTo/hqdefault.jpg,22.5596981048584,0.7100178599357605,0.2661707103252411
