,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url
0,SHxWsvnI9_Y,Sports Beat ,Rip 😭 💔#football #rip #tragic,"['football', 'rip', 'tragic moments', 'sports', '😭😭💔']",2024-10-14T10:22:08Z,36183296,,25865,,PT16S,hd,https://i.ytimg.com/vi/SHxWsvnI9_Y/hqdefault.jpg
1,qGkSsPXsPpY,Flush,Perfect Timing in Football 💀,"['football shorts', 'soccer shorts']",2024-09-18T09:45:02Z,21612850,419590,1719,,PT28S,hd,https://i.ytimg.com/vi/qGkSsPXsPpY/hqdefault.jpg
2,16vhoZV_0aQ,👑KingStickmantoon👑,Cocomelon Football ☠️ #football #soccer #skills #futbol #futebol #capcut #edit #cocomelon #ronaldo,,2024-11-26T05:56:30Z,9513486,403377,10587,,PT28S,hd,https://i.ytimg.com/vi/16vhoZV_0aQ/hqdefault.jpg
3,frIQYWWAvPc,Football H9Studio,Insane Moments,"['real madrid', 'barcelona', 'football', 'football h9studio', 'football moment', 'messi', 'ronaldo', 'uefa champions league', 'manchester united', 'football skill', 'freestyles', 'fifa', 'fifa world cup', 'football highlights', 'Crazy Football Moments', 'Perfect Moment in Football', 'Epic moments in football', 'Impossible moments in football', 'Insane Moments in Football', 'Insane Moments', 'Insane Football']",2024-12-21T14:30:15Z,113671,416,16,,PT12M23S,hd,https://i.ytimg.com/vi/frIQYWWAvPc/hqdefault.jpg
4,OKWt8idRqmg,Best Football Shorts,100% Aura Moments🤯🔥,,2024-09-26T12:00:23Z,23374809,1157322,1768,,PT20S,hd,https://i.ytimg.com/vi/OKWt8idRqmg/hqdefault.jpg
5,l_JvEXvmV3U,Lil Jr,The Best Knee slide Celebration?? #football #soccer,,2024-12-07T20:05:45Z,704234,31081,281,,PT13S,hd,https://i.ytimg.com/vi/l_JvEXvmV3U/hqdefault.jpg
6,dO8IzwHyIeA,Best Football Shorts,Players Shot Power + Ronaldo🤯🔥,,2024-09-11T12:00:50Z,25449254,583363,4233,,PT21S,hd,https://i.ytimg.com/vi/dO8IzwHyIeA/hqdefault.jpg
7,C1jVKZBGYT8,SV2,11 YEAR OLD KID NEYMAR vs PRO FOOTBALLER,"['kid messi', 'messi', 'kid ronaldo', 'football', 'soccer', 'futbol', 'sports', 'premier leauge', 'football skills', 'freestlye', 'best footbaler', 'football moments', 'best football goals', 'kids in football', 'futsal', 'premier league', 'sv2', 'fut crunch', '1v1 football', 'trending', 'ronaldo', 'messi vs ronaldo', 'kid Ronaldo', 'kid messi vs kid Ronaldo', 'kylian mbappe', 'cristiano Ronaldo', 'family friendly', 'kids football', 'kids soccer', 'pro footballer', 'erling haaland', 'sidemen', 'viral football', 'best football moments', 'neymar jr', 'fc25']",2024-12-21T18:31:43Z,232719,2575,214,,PT20M59S,hd,https://i.ytimg.com/vi/C1jVKZBGYT8/hqdefault.jpg
8,8jbWfnt_kas,FS25,Cristiano Ronaldo and Kylian Mbappe Masterclass | Friendly Match Imaginary 2026 #football #shorts,"['Ronaldo vs mbappe', 'futbol', 'soccer', 'highlights', 'Al Nassr vs', 'Real Madrid vs']",2024-12-01T14:50:00Z,1467942,58983,275,,PT1M,hd,https://i.ytimg.com/vi/8jbWfnt_kas/hqdefault.jpg
9,-tItC_rMJgA,Sport Snaps ,UEFA tested Yamal for anti-doping after the Dortmund match 😯🔥 #shorts,,2024-12-12T08:28:43Z,1275155,99766,799,,PT34S,hd,https://i.ytimg.com/vi/-tItC_rMJgA/hqdefault.jpg
10,PqPoQTwdpS8,Man City,"HIGHLIGHTS | ASTON VILLA 1-2 MAN CITY | Foden, Duran, Rogers goals","['man city', 'manchester city', 'mcfc', 'man city highlights', 'man city goals', 'city', 'city vs', 'man city vs', 'man city v', 'aston villa', 'villa', 'goals', 'foden', 'phil foden', 'duran', 'morgan rogers', 'rogers', 'Jhon Duran', 'gvardiol', 'chance', 'pep', 'guardiola', 'pep guardiola', 'highlights', 'match', 'premier league', 'pl', 'league']",2024-12-21T22:00:18Z,962113,12632,1903,,PT2M19S,hd,https://i.ytimg.com/vi/PqPoQTwdpS8/hqdefault.jpg
11,Dkb-JZ9S11A,PlayerGoat,100% Aura Moments in Football...,"['100% Aura Moments in Football', 'aura moments in football', 'aura moments', 'coldest moments', 'coldest moments in football', 'football players', 'football players aura', 'football coldest moments', 'football respect moments', 'epic moments in football', 'insane moments in football', 'football aura moments']",2024-12-12T21:00:08Z,56620,253,18,,PT11M46S,hd,https://i.ytimg.com/vi/Dkb-JZ9S11A/hqdefault.jpg
