Unnamed: 0,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url,hue,saturation,lightness,face_count
0,CzYggFLGEdM,DAZN UEFA Champions League,Nach 0:2 Rückstand: CR7 dreht das Spiel: Man United - Atalanta 3:2 | UEFA Champions League | DAZN,"['Champions League', 'DAZN Champions League', 'DAZN Highlights', 'DAZN UCL', 'Cristiano Ronaldo', 'Ronaldo', 'CR7', 'Man United', 'Manchester United', 'Atalanta', 'Atalanta Bergamo', 'Man United Atalanta', 'Man United vs Atalanta', 'Man United - Atalanta', 'Manchester United vs Atalanta Bergamo', 'Manchester United - Atalanta Bergamo', 'Man United - Atalanta 3:2', 'UEFA Champions League', 'UEFA Champions League DAZN', 'DAZN UEFA Champions League', 'Highlights UEFA Champions League', 'DAZN Highlights UEFA Champions League']",2021-10-20T21:20:13Z,3414468,65009.0,2560.0,,PT5M3S,hd,https://i.ytimg.com/vi/CzYggFLGEdM/hqdefault.jpg,284.7115173339844,0.4632532596588135,0.289074957370758,1.0
1,DaaHc9D7AuE,sportstudio fußball,"HSV – Sandhausen Highlights | 2. Bundesliga, 6. Spieltag | sportstudio","['2. Bundesliga', 'Fußball', 'Fussball', '2. Bundesliga Highlights', 'HSV', 'Hamburger SV', 'Hamburg', 'Sandhausen', 'SV Sandhausen', 'HSV Sandhausen', 'Sandhausen HSV', 'HSV Sandhausen Highlights', 'HSV Sandhausen 2. Bundesliga', 'David Kinsombi', 'Kinsombi HSV', 'Janik Bachmann', 'Bachmann Sandhausen', 'SVS', 'Moritz Heyer', 'Heyer Sandhausen', 'ZDF', 'sportstudio', '2. liga', '2. liga highlights', 'hsv sandhausen 2. liga', 'hsv sandhausen tore', 'Hamburg Sandhausen', 'HSV SV Sandhausen', 'Hamburg SV Sandhausen', 'Hamburger SV Sandhausen']",2021-09-12T22:00:03Z,187302,3287.0,139.0,,PT6M21S,hd,https://i.ytimg.com/vi/DaaHc9D7AuE/hqdefault.jpg,332.5456237792969,0.3370329141616821,0.3024023771286011,0.0
2,dYv-8SN5C2w,Sky Sport Premier League,Gabriel Jesus führt Gunners zum Sieg! | Crystal Palace - FC Arsenal | Highlights - Premier League,"['Arsenal', 'Arsenal London', 'Crystal Palace', 'EPL Highlights', 'EPL2024/25', 'FC Arsenal', 'Fußball Highlights', 'Gunners', 'Highlights Englische Liga', 'Premier League', 'Premier League 2024/25', 'Premier League Highlights', 'Sky', 'Sky Highlights', 'Sky Sport', 'Sky Sport Premier League', 'sky deutschland']",2024-12-21T19:48:38Z,207265,3906.0,71.0,,PT2M50S,hd,https://i.ytimg.com/vi/dYv-8SN5C2w/hqdefault.jpg,352.8800354003906,0.3697659969329834,0.3915245532989502,0.0
3,j-_yDQNHhRE,Sky Sport DE,Blues siegen souverän | FC Chelsea - Brighton & Hove Albion 2:0 | Highlights - Premier League,"['Premier League', 'Premier League 2019/20', 'Premier League Highlights', 'EPL', 'EPL Highlights', 'Fußball Highlights', 'Highlights Englische Liga', 'Premier League Sky', 'Sky Highlights', 'Sky Fußball', 'Sky Sports', 'Chelsea Brighton Highlights', 'Chelsea Brighton', 'Premier League 7. Spieltag', 'FC Chelsea', 'Chelsea', 'chelsea fc', 'chelsea london', 'Brighton & Hove Albion', 'Brighton', 'sp:ty=high', 'sp:dt=2019-09-28T14:00:00Z', 'sp:st=soccer', 'sp:li=epl', 'sp:ti:home=CHE', 'sp:ti:away=BHA']",2019-09-28T20:06:31Z,167352,2370.0,51.0,,PT2M54S,hd,https://i.ytimg.com/vi/j-_yDQNHhRE/hqdefault.jpg,21.785253524780277,0.3397134840488434,0.4350950419902801,0.0
4,uceAhxQjnDI,ESPN,The best and worst shooters of the 2021-22 NBA season from everywhere on the floor | NBA on ESPN,"['espn', 'viral', 'sports', 'sports news', 'best and worst shooters', 'the best and worst nba shooters from everywhere on the floor', 'best and worst shooters from each zone', 'nba', 'nikola jokic', 'rudy gobert', 'rj barrett', 'kevin durant', 'devin booker', 'julius randle', 'demar dreozan', 'seth curry', 'steph curry', 'stephen curry', 'patty mills', 'ben mclemore', 'terry rozier', 'khris middleton', 'trae young', 'desmond bane', 'dejounte murray', 'eric gordon', 'kirk goldsberry', 'nba highlights', 'reggie jackson', 'lu dort']",2022-04-23T17:00:26Z,531040,14027.0,505.0,,PT11M18S,hd,https://i.ytimg.com/vi/uceAhxQjnDI/hqdefault.jpg,275.206787109375,0.3500848114490509,0.2787411510944366,2.0
5,vETrCONwwR0,NBA on TNT,Chuck Turns On The Jets To Beat Kenny To The Big Board | NBA on TNT,"['NBA on TNT', 'NBA', 'Inside the NBA', 'Charles Barkley', 'Shaq', 'Kenny Smith', 'Ernie Johnson']",2021-11-17T03:32:50Z,303332,5602.0,277.0,,PT1M37S,hd,https://i.ytimg.com/vi/vETrCONwwR0/hqdefault.jpg,357.5097351074219,0.3202592134475708,0.2797993719577789,0.0
6,Nnrj69xXHrE,ESPN,2019 NBA playoffs preview: Will the Jazz upset the Rockets? Can the Clippers win a game? | The Jump,"['golden state warriors vs los angeles clippers', 'warriors vs clippers', 'golden state warriors vs la clippers', 'golden state warriors', 'warriors', 'los angeles clippers', 'clippers', 'stephen curry', 'kevin durant', 'draymond green', 'klay thompson', 'houston rockets vs utah jazz', 'rockets vs jazz', 'houston vs utah', 'james harden', 'chris paul', '2019 nba playoffs', 'nba playoffs', 'the jump', 'the jump playoff preview', 'jorge sedano', 'stan van gundy', 'amin elhassan', 'richard jefferson', 'espn', 'espn live', 'nba']",2019-04-12T20:09:47Z,211458,1053.0,429.0,,PT3M52S,hd,https://i.ytimg.com/vi/Nnrj69xXHrE/hqdefault.jpg,0.1598493456840515,0.3535633981227875,0.2096112519502639,1.0
7,L1rdQ2zeWmA,NBA,"Top 10 Plays of the Night: February 23, 2018","['nba', 'highlights', 'basketball', 'plays', 'amazing', 'sports', 'hoops', 'finals', 'games', 'game', 'top', 'top 10', 'play', 'best', 'night', 'action', 'victor', 'oladipo', 'emeka', 'okafor', 'chris', 'paul', 'rudy', 'gobert', 'bradley', 'beal', 'lebron', 'james', 'giannis', 'antetokounmpo', 'ish', 'smith', 'anthony', 'davis', 'jonas', 'valanciunas']",2018-02-24T07:54:39Z,422023,5321.0,302.0,,PT3M10S,hd,https://i.ytimg.com/vi/L1rdQ2zeWmA/hqdefault.jpg,357.75738525390625,0.3922821283340454,0.2501035630702972,0.0
8,J4rB2kDkz_s,FORMULA 1,Top 5 Moments | 2018 Singapore Grand Prix,"['F1', 'Formula One', 'Formula 1', 'Sports', 'Sport', 'Action', 'GP', 'Grand Prix', 'Auto Racing', 'Motor Racing', 'Singapore', 'Onboard', 'Highlights', 'Top 5 Moments', 'Crash', 'Perez', 'Ocon', 'Force India', 'Collision', 'Lap 1', 'Start', 'Hamilton', 'Qualifying', 'Pole', 'Sirotkin', 'Williams', 'Leclerc', 'Gasly']",2018-09-17T19:00:01Z,304835,6395.0,607.0,,PT3M2S,hd,https://i.ytimg.com/vi/J4rB2kDkz_s/hqdefault.jpg,9.135926246643066,0.1929928958415985,0.2922410666942596,0.0
9,wJsP-kPC1rk,Sky Sport DE,FC Bayern spielt bei Laimer auf Zeit | Transfer Update - die Show,"['sky', 'sky deutschland', 'sky sport hd', 'highlights', 'sky highlights', 'sky sport', 'Sky TU', 'Transfer Update', 'Transfers', 'Transfer Update die Show', 'David Raum', 'Leipzig', 'Angelino', 'FC Bayern i', 'Konrad Laimer', 'Markus Pilawa', 'Haller', 'BVB', 'Modeste-Verpflichtung', 'Timo Werner unzufrieden bei Chelsea: Das sind die Wechsel-Optionen', 'Erling Haaland', 'Paco Alcacer', 'FC Sion', 'Mario Balotelli', 'CR7', 'Lissabon', 'Barca', 'Kounde', 'PSG', 'Wijnaldum', 'Kehrer', 'Lookman', 'Atalanta Bergamo', 'FCA', 'Warren Bondo', 'Augsburg']",2022-07-29T17:36:50Z,247444,6312.0,411.0,,PT26M41S,hd,https://i.ytimg.com/vi/wJsP-kPC1rk/hqdefault.jpg,26.784379959106445,0.2610884606838226,0.1853726059198379,1.0
