,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url
0,ZgjWOo7IqQY,Insider Food,Why Parmesan Cheese Is So Expensive | Regional Eats | Food Insider,"['Italy', 'Emilia Romagna', 'Parmesan cheese', 'FOOD INSIDER', 'factory', 'Italian food', 'Video', ""How It's Made"", 'cheese', 'INSIDER', 'UK', 'Original', 'Parma']",2018-11-17T17:00:04Z,36961074,324943,25278,,PT9M59S,hd,https://i.ytimg.com/vi/ZgjWOo7IqQY/hqdefault.jpg
1,Wxdj970RM7M,Insider Food,The Most Iconic Food In Every State | 50 State Favorites,"['INSIDER', 'FOOD INSIDER', 'America', 'Iconic Foods', 'Classic Dishes', 'Restaurants', 'Travel']",2020-07-04T20:00:03Z,8755966,152489,11079,,PT9M10S,hd,https://i.ytimg.com/vi/Wxdj970RM7M/hqdefault.jpg
2,DDiq5C34KL4,Rick Steves' Europe,Scotland's Highlands,"['Rick Steves', 'Rick Steves Europe', 'Europe travel guide', 'Europe travel tips', 'Europe travel advice', 'Rick Steves travel videos', 'Europe travel', 'travel', 'travel guide', 'rick steves full episode', 'rick steves travel guide', 'rick steves scotland', 'scottish highlands travel']",2019-04-19T23:10:28Z,4498828,,2063,,PT25M2S,hd,https://i.ytimg.com/vi/DDiq5C34KL4/hqdefault.jpg
3,00ZXaXIABMY,japan-guide.com,15 Tips for First-Time Travellers to Japan | japan-guide.com,"['japan', 'travel', 'guide', 'sightseeing', 'tourist', 'how to get to tokyo from narita airport', 'narita airport', 'how to', 'suica card', 'ekiben', 'atms in japan', 'luggage delivery', 'smartEX', 'shinkansen tickets', 'buying bullet train tickets', 'riding the tokaido shinkansen', 'tokaido shinkansen', 'tokyo station']",2019-03-27T23:38:34Z,4801744,80788,2673,,PT10M,hd,https://i.ytimg.com/vi/00ZXaXIABMY/hqdefault.jpg
4,qM0HS5A6sys,Zack D. Films,How They Used To Make Ships Waterproof 🤔,,2024-12-20T18:30:38Z,6936964,479908,1498,,PT27S,hd,https://i.ytimg.com/vi/qM0HS5A6sys/hqdefault.jpg
5,fLt5cKJelis,Insider Food,How Katz’s Became The Most Legendary Deli In NYC | Legendary Eats,"['INSIDER', 'FOOD INSIDER', ""katz's deli"", 'nyc', 'new york', 'when harry met sally', 'pastami', 'corned beef', 'sandwich', 'meat', 'jake dell', 'rye bread', 'deli']",2019-05-01T16:00:09Z,6623285,57081,4545,,PT7M48S,hd,https://i.ytimg.com/vi/fLt5cKJelis/hqdefault.jpg
6,16mWs3gNcwc,Insider Food,US vs UK Wingstop | Food Wars | Food Insider,"['INSIDER', 'FOOD INSIDER', 'Wingstop', 'USA', 'UK', 'Fast Food', 'Restaurant', 'Wings', 'Fries', 'Chicken', 'Food Wars', 'Food']",2021-03-28T16:00:02Z,6968794,93696,4289,,PT14M43S,hd,https://i.ytimg.com/vi/16mWs3gNcwc/hqdefault.jpg
7,F1AYXQBSnUc,Expedia,Rocky Mountain National Park Vacation Travel Guide | Expedia,"['cvg', 'vacation travel guide', 'where to go', 'places to visit', 'vacation package', 'vacation', 'things to do', 'travel colorado', 'colorado', 'usa travel', 'hiking trails rocky mountain', 'colorado vacation', 'travel to\nrocky mountains national park', 'rocky mountains vacation', 'things to do in colorado', 'things to do\nin rocky mountains', 'where to go rocky mountains']",2020-12-10T01:01:30Z,835657,6787,248,,PT11M54S,hd,https://i.ytimg.com/vi/F1AYXQBSnUc/hqdefault.jpg
8,Qk6B4YyQSbo,Rick Steves' Europe,Edinburgh,"['Rick Steves (Author)', 'Rick Steves Edinburgh', 'Rick Steves Scotland', 'Rick Steves full episode', 'Edinburgh Royal Mile', 'Edinburgh Scotland', 'St Giles Cathedral Edinburgh', 'Holyrood Palace', 'Scottish whisky', 'Scottish whiskey', 'Scottish writers', 'Scotland Rick Steves', 'Edinburgh travel video', 'Edinburgh travel guide']",2013-08-19T23:15:19Z,2668015,22987,907,,PT25M6S,hd,https://i.ytimg.com/vi/Qk6B4YyQSbo/hqdefault.jpg
9,huTUpPE9J4M,Expedia,Oregon Coast Road Trip Vacation Travel Guide | Expedia,"['cvg', 'vacation travel guide', 'where to go', 'places to visit', 'vacation package', 'vacation', 'things to do', 'travel oregon', 'usa', 'usa travel', 'oregon coast vacation', 'travel to oregon coast', 'things to do in\noregon driving vacation oregon', 'oregon coast roadtrip', 'drive oregon coast']",2020-10-15T00:46:11Z,1496254,13576,405,,PT18M20S,hd,https://i.ytimg.com/vi/huTUpPE9J4M/hqdefault.jpg
10,hYa8nOB2_3s,Rick Steves' Europe,"The Best of West Ireland: Dingle, Galway, and the Aran Islands","['Rick Steves (Author)', 'Ireland (Country)', 'Rick Steves West Ireland', 'Rick Steves Ireland', 'Rick Steves full episode', 'Rick Steves Europe full episode', 'Dingle Ireland travel', 'Fungie the dolphin', 'Fungie dolphin Dingle Ireland', 'Aran Islands Ireland', 'Galway Ireland travel guide', 'Galway Ireland Rick Steves', 'Ireland travel video', 'Ireland travel guide', 'Cliffs of Moher', 'Blasket Islands', 'Inishmore Ireland', 'Kilronan Ireland', 'the Burren Ireland', 'Dingle Peninsula', 'Irish fairies']",2014-05-14T20:46:46Z,3133018,21999,879,,PT26M1S,sd,https://i.ytimg.com/vi/hYa8nOB2_3s/hqdefault.jpg
11,J1ns_U9IbFU,Insider Food,How Lea & Perrins Makes Worcestershire Sauce Using A 185-Year-Old Recipe | Regional Eats,"['lea & perrins', 'UK', 'Video', 'INSIDER', 'FOOD INSIDER', 'worcestershire', 'recipe', 'Original', 'sauce', 'england']",2019-12-25T17:00:08Z,2384269,27782,3307,,PT7M11S,hd,https://i.ytimg.com/vi/J1ns_U9IbFU/hqdefault.jpg
12,PQRuGf7eVkU,Corona Brasil,Filipe Toledo - Western Australia - Corona Lay Days,,2021-05-12T12:57:25Z,1567612,59,18,,PT3M18S,hd,https://i.ytimg.com/vi/PQRuGf7eVkU/hqdefault.jpg
13,EThfllbvfgQ,Haus des Meeres Aqua Terra Zoo,Wer wird gewinnen? 🤿 #hausdesmeeres #wien #tictactoe #taucher,,2022-04-21T16:49:50Z,711904767,21449562,24791,,PT44S,hd,https://i.ytimg.com/vi/EThfllbvfgQ/hqdefault.jpg
14,FXZ-IhvTjqk,DW Travel,Dresden: 6 Reasons for Visiting the Fascinating Baroque City,"['elbe river', 'east germany', 'dresden city', 'dresden germany', 'travel vlog', 'dresden city tour', 'discover germany', 'traveling', 'travel germany', 'frauenkirche', 'church of our lady', 'zwinger palace', 'zwinger dresden', 'canaletto views', 'saxon switzerland national park', 'saxon switzerland germany', 'neustadt kunsthofpassage', 'dresden neustadt', 'deutsche welle', 'dw travel', 'dw']",2023-01-18T14:00:13Z,159267,2081,126,,PT3M49S,hd,https://i.ytimg.com/vi/FXZ-IhvTjqk/hqdefault.jpg
15,p1Cmh-M_QUw,Not Just Bikes,How we got to Berlin from Amsterdam #traintravel #berlin #shorts #deutschebahn,"['amsterdam', 'berlin', 'train travel', 'european train travel', 'train', 'european trains']",2022-09-03T13:54:50Z,1538042,88088,393,,PT1M,hd,https://i.ytimg.com/vi/p1Cmh-M_QUw/hqdefault.jpg
16,1xcqXBGv5DM,Insider Food,Why Spanish Iberian Ham Is The World's Most Expensive Cured Meat | Regional Eats,"['portugal', 'meat', 'INSIDER', 'cured meat', 'spain', 'iberian peninsula', 'ham', 'UK Original Video', 'food', 'FOOD INSIDER', 'Video', 'spanish iberian ham', 'UK', 'Original']",2019-11-27T17:00:00Z,8228068,75832,4993,,PT9M20S,hd,https://i.ytimg.com/vi/1xcqXBGv5DM/hqdefault.jpg
17,TyepBhxvivU,Nas Daily,This Machine Can Print Meat  #177,"['Nas Daily', 'Nasmeanspeople', '1minute', 'Travel', 'Nuseir Yassin', 'Nas Studio', '英語学習', 'people', 'Nas Academy', 'Lesan.io', 'This Machine Can Print Meat', 'Redefine meat', 'meat from plants']",2022-01-24T16:32:27Z,6323611,567856,10052,,PT1M,hd,https://i.ytimg.com/vi/TyepBhxvivU/hqdefault.jpg
18,La6ljbxBZFs,Great Big Story,"The Kitchen Serving 40,000 People a Day","['great big story', 'gbs', 'lag', 'documentary', 'docs', 'Food & Drink', 'Travel & Adventure', 'India', 'Kitchen', 'Cooking']",2017-06-22T06:00:00Z,5640036,69946,5728,,PT2M35S,hd,https://i.ytimg.com/vi/La6ljbxBZFs/hqdefault.jpg
19,FwH3iaGsks0,Insider Food,How Cashew Nuts Are Grown,"['INSIDER', 'FOOD INSIDER']",2021-08-12T17:26:27Z,245544,6101,137,,PT44S,hd,https://i.ytimg.com/vi/FwH3iaGsks0/hqdefault.jpg
