,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url
0,-qDu179W3EY,Vermögen und Bau Baden-Württemberg,"GUZ -Architekturfilm - Neubau Geo- und Umweltforschungszentrum, Uni Tübingen",,2021-05-11T13:39:04Z,697,4,0,,PT6M10S,hd,https://i.ytimg.com/vi/-qDu179W3EY/hqdefault.jpg
1,U6O2UuZvOpQ,KlarnerMedien,Universität Tübingen eröffnet Zentrum für Digitale Bildung,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1', 'Regionalfernsehen', 'Rottenburg', 'Eningen', 'Pfullingen']",2022-07-26T13:44:27Z,63,0,0,,PT50S,hd,https://i.ytimg.com/vi/U6O2UuZvOpQ/hqdefault.jpg
2,hLGFGe0eh7k,KlarnerMedien,RTF.1-Nachrichten: Debatte um das Cyber-Valley an der Universität Tübingen,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1']",2019-06-19T15:25:51Z,254,2,0,,PT3M28S,sd,https://i.ytimg.com/vi/hLGFGe0eh7k/hqdefault.jpg
3,9Xh3lPeJfzY,KlarnerMedien,Universität Tübingen äußert sich zur Kritik,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1']",2020-07-28T15:51:15Z,385,3,0,,PT1M9S,hd,https://i.ytimg.com/vi/9Xh3lPeJfzY/hqdefault.jpg
4,CSjf-OvtmUQ,KlarnerMedien,"Im Gespräch mit... Dr. Nicholas Conard, UNI Tübingen",,2014-11-11T16:55:01Z,1396,12,0,,PT12M45S,sd,https://i.ytimg.com/vi/CSjf-OvtmUQ/hqdefault.jpg
5,qT9M377z7go,Vermögen und Bau Baden-Württemberg,GUZ/IFIB - Städtebau – Drohnenflug über den Campus Morgenstelle der Universität Tübingen,,2021-05-11T13:39:14Z,1458,17,0,,PT2M46S,hd,https://i.ytimg.com/vi/qT9M377z7go/hqdefault.jpg
6,FGNF9C9MSpk,Eberhard Karls Universität Tübingen,Lage in der Ukraine 2024 - Osteuropa-Historiker Klaus Gestwa antwortet auf Fragen und Kommentare,,2024-10-31T06:24:21Z,10454,510,,,PT1H10M24S,hd,https://i.ytimg.com/vi/FGNF9C9MSpk/hqdefault.jpg
7,tQr7_agpQWU,KlarnerMedien,Karla Pollmann wird neue Rektorin der Universität Tübingen,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1']",2022-04-28T15:17:42Z,873,2,0,,PT3M14S,hd,https://i.ytimg.com/vi/tQr7_agpQWU/hqdefault.jpg
8,_Iva-VJMA30,KlarnerMedien,Erste Frau in über 500 Jahren - Neue Rektorin an der Uni Tübingen,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1', 'Regionalfernsehen', 'Rottenburg', 'Eningen', 'Pfullingen']",2022-10-19T15:33:26Z,339,2,0,,PT2M59S,hd,https://i.ytimg.com/vi/_Iva-VJMA30/hqdefault.jpg
9,ukGQBSGiU9g,KlarnerMedien,Feierliche Übergabe des Geo- und Umweltforschungszentrums and die Universität Tübingen,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1']",2021-04-03T14:44:29Z,285,1,0,,PT4M39S,hd,https://i.ytimg.com/vi/ukGQBSGiU9g/hqdefault.jpg
10,I_Y7iElMAvE,Vermögen und Bau Baden-Württemberg,"IFIB  - Architekturfilm - Ersatzneubau Interfakultäres Institut für Biochemie, Uni Tübingen",,2021-05-11T13:39:11Z,935,8,0,,PT6M16S,hd,https://i.ytimg.com/vi/I_Y7iElMAvE/hqdefault.jpg
11,HRKKUWmR4OQ,KlarnerMedien,Finanzminister Danyal Bayaz zu Gast an der Universität Tübingen,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1', 'Regionalfernsehen', 'Rottenburg', 'Eningen', 'Pfullingen']",2023-07-13T15:47:58Z,198,1,1,,PT3M42S,hd,https://i.ytimg.com/vi/HRKKUWmR4OQ/hqdefault.jpg
12,DCHT1MxfLxM,KlarnerMedien,Soll die Eberhard Karls Universität in Tübingen umbenannt werden?,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1']",2022-05-13T14:59:00Z,221,1,0,,PT2M15S,hd,https://i.ytimg.com/vi/DCHT1MxfLxM/hqdefault.jpg
13,zkw7AjCoCj4,KlarnerMedien,Namensänderung? Uni Tübingen behält ihren Namen vorerst,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1', 'Regionalfernsehen', 'Rottenburg', 'Eningen', 'Pfullingen', 'Uni Tübingen', 'Universität Tübingen', 'Studieren Tübingen', 'Eberhard Karls Universität']",2022-07-22T14:50:25Z,716,9,2,,PT3M29S,hd,https://i.ytimg.com/vi/zkw7AjCoCj4/hqdefault.jpg
14,k0uCUJGAtRA,KlarnerMedien,Universität Tübingen trauert um Carl Herzog von Württemberg,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1', 'Regionalfernsehen', 'Rottenburg', 'Eningen', 'Pfullingen']",2022-06-08T15:45:34Z,1034,8,0,,PT38S,hd,https://i.ytimg.com/vi/k0uCUJGAtRA/hqdefault.jpg
15,7c6FrWS2t8Q,KlarnerMedien,Universität Tübingen verleiht Volker Michels die Ehrendoktorwürde,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1', 'Regionalfernsehen', 'Rottenburg', 'Eningen', 'Pfullingen']",2022-11-04T15:52:06Z,123,1,0,,PT30S,hd,https://i.ytimg.com/vi/7c6FrWS2t8Q/hqdefault.jpg
16,LvYjpbaPA2Q,KlarnerMedien,Universität Tübingen erhält erneut Zertifikat „Vielfalt gestalten“,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1']",2022-02-27T15:34:57Z,116,0,0,,PT39S,hd,https://i.ytimg.com/vi/LvYjpbaPA2Q/hqdefault.jpg
17,BghEpmAQ4xE,KlarnerMedien,RTF.1 Nachrichten: Eberhard Karls Universität Tübingen verteidigt Exzellenzstatus,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1']",2019-07-20T16:35:03Z,491,2,0,,PT2M38S,sd,https://i.ytimg.com/vi/BghEpmAQ4xE/hqdefault.jpg
18,ZyikYb9tUNc,KlarnerMedien,Universität Tübingen startet online ins neue Semester,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1']",2020-11-02T16:44:05Z,87,3,0,,PT2M46S,hd,https://i.ytimg.com/vi/ZyikYb9tUNc/hqdefault.jpg
19,p_e93H2yFKo,KlarnerMedien,Bundesweit einzigartige Forschungsstelle Rechtsextremismus an Uni Tübingen,"['Nachrichten', 'Reutlingen', 'Tübingen', 'RTF1', 'Regionalfernsehen', 'Rottenburg', 'Eningen', 'Pfullingen']",2023-03-07T16:24:24Z,196,0,0,,PT3M27S,hd,https://i.ytimg.com/vi/p_e93H2yFKo/hqdefault.jpg
