Unnamed: 0,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url,hue,saturation,lightness,face_count,text_presence,lang,recognized_text
1,KEYOhODsX4A,EarlyGame,Die schlechtesten IShowSpeed Fails💀,,2024-12-23T12:00:23Z,741933,41846.0,122.0,,PT41S,hd,https://i.ytimg.com/vi/KEYOhODsX4A/hqdefault.jpg,358.888916015625,0.094896487891674,0.2171342223882675,0.0,1,['de'],"['rollerfanrer', 'ren']"
2,YaDvRdLMkHs,CrashCourse,Existentialism: Crash Course Philosophy #16,"['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'humanities', 'philosophy', 'existentialism', 'edu', 'learning', 'jean-paul sartre', 'sartre', 'essentialism', 'the absurd']",2016-06-06T21:00:01Z,7039619,182658.0,6681.0,,PT8M54S,hd,https://i.ytimg.com/vi/YaDvRdLMkHs/hqdefault.jpg,2.4812662601470947,0.5072891116142273,0.2735724151134491,0.0,1,['en'],"['losop', 'cc', 'existentialism']"
3,o5qYn3cRLck,Mondragon Chiropractic,Made His Ribs CRACK on his Back #chiropractic #asmr,,2024-12-15T16:16:52Z,209060,9541.0,68.0,,PT1M,hd,https://i.ytimg.com/vi/o5qYn3cRLck/hqdefault.jpg,227.7423248291016,0.2431016862392425,0.3699501752853393,0.0,0,['en'],[]
4,5ejGKY5tD8I,Deutsch lernen mit der DW,Deutsch lernen (A2) | Das Deutschlandlabor | Folge 05: Wandern,"['dw.com/deutschlernen', 'Deutsch lernen', 'Deutschland', 'learn German', 'Deutsch A2', 'Germany', 'DW', 'Deutsche Welle', 'learn german', 'aprender aleman', 'apprendre l‘allemand', 'aprender alemao', 'Wandern']",2015-10-22T09:01:49Z,114348,916.0,20.0,,PT5M3S,hd,https://i.ytimg.com/vi/5ejGKY5tD8I/hqdefault.jpg,92.68761444091795,0.2591340839862823,0.3528125882148742,0.0,1,['de'],"['aa', 'deutschland', 'labor']"
5,ZYiNS1WW3pk,Dinge Erklärt – Kurzgesagt,Der extremste Ort im Universum,,2022-10-02T15:00:17Z,1995058,71185.0,2021.0,,PT11M46S,hd,https://i.ytimg.com/vi/ZYiNS1WW3pk/hqdefault.jpg,31.79743766784668,0.6734929084777832,0.3070958256721496,0.0,0,['de'],[]
6,xmhd973zsEw,Die Maus,So wird ein Dinosauriermodell gebaut | DieMaus | WDR,"['Maus', 'Sendung mit der Maus', 'Die Maus', 'Maus und Elefant', 'Die Sendung mit der Maus', 'WDR', 'ARD', 'KiKA', 'Für Kinder', 'Dino', 'Dinosauerier', 'Modell', 'Forschung', 'Modellbau', 'Spinosaurus', 'Museum', 'Wissenschaft', 'Knochen', 'Wissenschaftler', 'Fundstück']",2022-09-24T06:00:22Z,399939,1061.0,0.0,,PT13M47S,hd,https://i.ytimg.com/vi/xmhd973zsEw/hqdefault.jpg,265.00152587890625,0.3010632693767547,0.2705438435077667,0.0,1,['de'],"['die', 'dinos', 'wie', 'sahen', 'ausi', 'die', 'maus']"
7,98Wu1NpTZ1Y,Microsoft 365,Microsoft 365 Grants for Nonprofits,"['nonprofit', 'nonprofits', 'nonprofit tech', 'Microsoft nonprofit', 'Microsoft 365', 'Microsoft 365 grants', 'Microsoft grant', 'nonprofit grants', 'free technology', 'nonprofit discounts', 'charity discounts', 'non-profit organization', 'nonprofit fundraising', 'nonprofit management', 'nonprofit leadership', 'Office 365', 'nonprofit Office 365', 'nonprofit teams', 'Microsoft']",2022-02-15T19:07:36Z,66106684,3262.0,,,PT35S,hd,https://i.ytimg.com/vi/98Wu1NpTZ1Y/hqdefault.jpg,358.8837280273437,0.1325488239526748,0.2900377810001373,0.0,1,['en'],['microsoft']
8,9amQHSmUAUA,Moonbug Kids - Tiny TV,Blippi Visits The Discovery Children's Museum! | @Blippi,"['Baby Songs', 'Cartoons for Kids', 'Little Baby Bum', 'Moonbug', 'nursery rhymes', 'Songs for Kids', 'Cartoons for babies', 'baby shark', 'boo boo song', 'baby cartoons', 'songs for babies', 'best cartoons', 'best nursery rhymes', 'wheels on the bus', 'ABC', '123', 'cocomelon', 'Bus', 'education', 'children learning', 'sing-along', 'videos for kids', 'morphle', 'superhero', 'kids', 'english', 'cute', 'children', 'for kids', 'baby', 'learning', 'educational', 'educational videos', 'kids songs', 'home school', 'Learn online', 'kids tv', 'wash your hands', 'school']",2022-06-15T11:00:04Z,9543386,6610.0,0.0,,PT1H3M55S,hd,https://i.ytimg.com/vi/9amQHSmUAUA/hqdefault.jpg,286.6286926269531,0.4238941669464111,0.3851920962333679,0.0,1,['en'],"['min', 'blippi', 'rane', 'snaiay']"
9,imipqu-wGnE,Bichritv ,Madal Khabirou - Lissanu Chukri | Kourel 1 Hizbut Tarqiyyah | Journee Khassida Touba Ngaye 2018,"['Journee Khassida', 'Touba Ngaye', 'edition 2018', 'waxtaan ci khassida yi', 'Kourel', 'Rajass', 'Bichritv', 'senegal', 'dakar', 'mouride', 'touba', 'khassaides', 'xassida', 'toubavision', 'video', 'cheikh', 'fallou', 'mbacke', 'wolofal', 'mouridisme', 'bamba', 'moustapha', 'khadim', 'baba', 'un', 'khalif', 'khassida', 'kurel', 'journe', 'cheikhoul', 'tarikha', 'général', 'xassaides', 'Hizbut Tarqiyyah', 'Kourel 1']",2018-03-03T21:36:16Z,129973,1718.0,42.0,,PT7M12S,hd,https://i.ytimg.com/vi/imipqu-wGnE/hqdefault.jpg,16.898908615112305,0.3239687979221344,0.3821685016155243,2.0,1,"['id', 'so', 'en']","['bichrlw', 'kourel', 'hizbut', 'tarqiyyah', 'san', 'journee', 'sios', 'toube', 'ngaye', 'edtion', 'zot0']"
10,EEp_wJbd1So,BBC Learning English,🤐 Stop Saying... Tim's top tips for progressing to advanced English - NOW WITH SUBTITLES,"['lesson', 'อังกฤษ', 'british', 'with', 'speak', 'conversational', 'the', 'language lesson', 'natural', 'English', '\u200b', 'tutorial', 'learn English', 'vocabulary', 'learn', 'to', 'how', 'English lesson', 'BBC masterclass', 'English course', 'الإنجليزية', 'Inglês', 'BBC', 'lesson planning', 'native', 'ELT', 'authentic english', 'speaking native', 'Tim Gibson', 'English language', 'masterclass', 'Official BBC', 'British Broadcasting Corporation', 'language', '英語', 'native English speaker', '영어', 'official', 'anh', 'Inglés', 'english', 'lesson plan']",2016-06-30T10:33:43Z,293813,9788.0,145.0,,PT3M45S,hd,https://i.ytimg.com/vi/EEp_wJbd1So/hqdefault.jpg,307.8351135253906,0.1412982642650604,0.4196000099182129,1.0,1,['en'],"['saying', 'stop', 'for', 'tim', 'tips', 'progressing', 'to', 'english', 'advanced', 'learning', 'english', 'bl']"
12,hiGiSGI3s_I,Nat Geo Kids,Cool Facts About Ice Cream | Things You Wanna Know,"['national geographic kids', 'nat geo kids', 'kids', 'kid', 'for kids', 'national geographic', 'nat geo', 'animals', 'making stuff', 'educational', 'Cool Facts', 'Facts About Ice Cream', 'Ice Cream', 'About Ice Cream', 'been around a lot longer', 'lot longer', 'been around', 'than you’d guess', 'you’d guess', 'how long', 'Things You Wanna Know', 'PLQlnTldJs0ZR56MScVzlbeucr3brcHb-e', 'You Wanna Know', 'Cool Facts About Ice Cream', 'episode of “Things You Wanna Know.”', 'PLQlnTldJs0ZTeMkSui3dBQGxtutuobNWi']",2018-07-13T19:00:02Z,525003,1228.0,,,PT2M31S,sd,https://i.ytimg.com/vi/hiGiSGI3s_I/hqdefault.jpg,307.3130798339844,0.413155198097229,0.4457784593105316,0.0,1,['en'],"['ice', 'cream', 'things', 'you', 'wanna', 'know', 'nat', 'geo', 'kids']"
13,-TFCMK4i2lo,CrashCourse,Batman & Identity: Crash Course Philosophy #18,"['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'edu', 'humanities', 'philosophy', 'identity', 'personal identity', 'batman']",2016-06-20T21:00:01Z,1483460,28306.0,1495.0,,PT9M9S,hd,https://i.ytimg.com/vi/-TFCMK4i2lo/hqdefault.jpg,88.3327407836914,0.500674307346344,0.2055605351924896,0.0,1,['en'],"['loso', 'cc', 'batman', 'identity']"
14,890wWM0lg94,Dhruv Rathee,Biggest Mystery in Aviation | What happened to MH370 Flight? | Dhruv Rathee,"['Dhruv Rathee', 'Dhruv', 'Rathee', 'Dhruv Rathee latest video', 'indian youtuber', 'khan sir', 'khan sir patna', 'Richard godfrey', 'Malaysia flight mh370 found?', 'missing flight MH 370', 'Malaysian flight mh370 plane found', 'Malaysian airlines flight 370', 'mh370 malaysia mystery', 'mh370', 'malaysia airlines', 'mh370 documentary', 'malaysia airlines flight 370', 'mh370 lost', 'mh370 crash location', 'ocean infinity operations', 'flight 370 disappearance', 'MH 370 disappearance', 'mh370 in hindi']",2022-01-31T16:03:29Z,19777442,606569.0,15351.0,,PT19M28S,hd,https://i.ytimg.com/vi/890wWM0lg94/hqdefault.jpg,94.10067749023438,0.425563097000122,0.2533490359783172,1.0,1,['en'],"['the', 'great', 'mystery', 'mh']"
15,4ZrJ1abKZdI,Die Techniker,"Tourette-Syndrom: Ursachen, Symptome & Behandlung | Dr. Johannes Wimmer","['Die Techniker', 'Dr. Johannes', 'Dr. Johannes Wimmer', 'Dr. Wimmer', 'Form der Ticstörung', 'Neigung zu Tics', 'Nervensystem', 'TK', 'Techniker Krankenkasse', 'Ticstörungen', 'Tourette', 'Tourette Behandlung', 'Tourette Tics', 'Tourette anzeichen', 'Tourette behandlung', 'Tourette medikamente', 'Tourette symptome', 'Tourette ursachen', 'Tourette-Syndrom', 'Verhaltensauffälligkeiten', 'Wie fängt Tourette an', 'genetische Veranlagung', 'motorische Tics', 'tourette syndrom diagnostizieren', 'vokale tics', 'zentraler Nervensystem']",2016-10-28T10:53:47Z,79908,1141.0,74.0,,PT2M48S,hd,https://i.ytimg.com/vi/4ZrJ1abKZdI/hqdefault.jpg,5.170561790466309,0.4392854273319244,0.5443782806396484,2.0,1,['de'],"['was', 'touretter', 'ist', 'syndromt', 'dr', 'johannes', 'wimmer']"
16,UWImfFax8Ew,CrashCourse,"Revenue, Profits, and Price: Crash Course Economics #24","['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'econ', 'economics', 'revenue', 'price', 'cost', 'profit', 'loss', 'profits', 'produce', 'marginal cost', 'marginal', 'margin', 'business', 'pizza', 'sunk cost', 'sunk', 'dating', 'boyfriend', 'girlfriend']",2016-02-17T23:52:14Z,892643,13364.0,498.0,,PT11M10S,hd,https://i.ytimg.com/vi/UWImfFax8Ew/hqdefault.jpg,245.8446350097656,0.6666062474250793,0.3704622685909271,0.0,1,['en'],"['costs', 'production', 'profit', 'of', 'cc', 'oul', 'oblivisci', 'mirabill', 'production', 'costs', 'of']"
17,l15mghqYTmQ,Smile and Learn - English,Ana and her Family - Educational Story about Family Values,"['Youtube Kids', 'Smile and learn', 'Videos for Kids', 'educational', 'stories', 'short story', 'values', 'children', 'family', 'pets', 'family tree', 'special needs kids']",2018-07-25T15:30:03Z,261609,1170.0,0.0,,PT2M49S,hd,https://i.ytimg.com/vi/l15mghqYTmQ/hqdefault.jpg,288.77984619140625,0.5677065849304199,0.4328639507293701,0.0,1,['en'],"['and', 'ana', 'family', 'her']"
18,YI3tsmFsrOg,Kurzgesagt – In a Nutshell,The Deadliest Being on Planet Earth – The Bacteriophage,"['bacteriophage', 'phage', 'endolysin', 'phage therapy', 'therapy', 'medicine', 'antibiotics', 'antibiotic', 'resistence', 'antibiotic resistance', 'survival', 'healing', 'bacteria', 'satire', 'education', 'human progress', 'animation', 'kurzgesagt', 'in a nutshell']",2018-05-13T12:00:22Z,33872658,801402.0,52805.0,,PT7M9S,hd,https://i.ytimg.com/vi/YI3tsmFsrOg/hqdefault.jpg,354.270263671875,0.722620964050293,0.2373078316450119,0.0,1,['en'],['bacteriophage']
19,kAJ0GLb9Kpg,Goethe-Institut,Das Deutschlandlabor – Folge 12: Geld,"['Goethe-Institut', 'Deutsche Welle', 'Deutschland', 'Deutsch', 'lernen', 'Deutschlandlabor', 'Anfänger', 'Landeskunde', 'Geld', 'Reichtum', 'Armut', 'reich', 'Arm', 'Tafel', 'Tauschring']",2015-12-14T12:19:49Z,87586,901.0,25.0,,PT5M31S,hd,https://i.ytimg.com/vi/kAJ0GLb9Kpg/hqdefault.jpg,248.0144500732422,0.3490669727325439,0.2845123410224914,0.0,1,['de'],"['deutschland', 'labor']"
20,tc8pD_XGTjI,DW Documentary,Mother in times of need | DW Documentary,"['Documentary', 'Documentaries', 'documentaries', 'DW documentary', 'full documentary', 'DW', 'documentary 2022', 'documentary 2023', 'foster child', 'foster mother', 'minors', 'drug addiction']",2023-05-04T16:00:38Z,120322,1905.0,191.0,,PT12M31S,hd,https://i.ytimg.com/vi/tc8pD_XGTjI/hqdefault.jpg,12.754807472229004,0.1934704333543777,0.2614652812480926,0.0,1,['en'],"['dw', 'temporary', 'mom']"
21,zmV5qJqq2xw,Leon Renner,Excel Sort Column by Numbers in Ascending/Descending Order (2020),"['excel sort numbers in ascending order', 'excel sort numbers', 'excel sort column by date', 'excel', 'how to', 'tutorial', 'sort', 'by', 'numbers', 'in', 'ascending', 'order', 'descending', 'leon renner', 'leonrenner']",2020-12-01T11:00:26Z,611002,1558.0,130.0,,PT26S,hd,https://i.ytimg.com/vi/zmV5qJqq2xw/hqdefault.jpg,95.21754455566406,0.3647056519985199,0.3722746074199676,0.0,1,['en'],"['minute', 'sort', 'numbers']"
23,OdImx4h0MWo,Training Hands Academy,Build Shaker Cabinet Doors With Table Saw | New to Woodworking?,"['how to', 'table saw', 'shaker style', 'home improvement', 'build shaker cabinet doors', 'build shaker cabinet doors with table saw', 'build shaker style cabinet doors', 'build shaker doors', 'beginner woodworking', 'beginner wood projects', 'woodworking', 'diy', 'cabinet door', 'shaker style doors', 'woodwork', 'diy cabinet doors', 'how to make cabinet doors', 'how to make shaker doors', 'woodworking projects', 'shaker style door', 'carpentry', 'tongue and groove', 'do it yourself (hobby)', 'training hands academy', 'beginner']",2020-03-26T13:58:00Z,1634788,27510.0,1082.0,,PT8M37S,hd,https://i.ytimg.com/vi/OdImx4h0MWo/hqdefault.jpg,226.42483520507807,0.3396207690238952,0.3379397392272949,0.0,1,['en'],"['basic', 'shaker', 'style', 'door', 'thees', 'ly']"
