,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,duration,definition
0,5xp0taGM3Kg,Data Sensei,Andrew Ng's Secret to Mastering Machine Learning - Part 1 #shorts,"['data science tutorials', 'machine learning', 'data sensei', 'andrew ng', 'how to study', 'how to learn machine learning', 'how to study deep learning', 'productivity advice', 'professor in machine learning', 'deep learning expert', 'best tips to learn machine learning', 'datascience tips', 'coding', 'learning on coursera', 'artificial intelligence', 'online courses']",2023-03-14T21:39:04Z,522452,25336,125,PT48S,hd
1,Iuz_jc96bQk,Alura,O que é Machine Learning? #HipstersPontoTube,"['machine learning', 'aprendizagem de máquina', 'redes neurais', 'alura', 'algoritmos', 'deep blue', 'alpha go', 'inteligência artificial', 'keras', 'python', 'guilherme silveira', 'paulo silveira', 'caelum', 'linguagem r', 'Ciência de Dados', 'Excel', 'Data Science', 'Pandas', 'Jupyter', 'Machine Learning', 'Bussiness Intelligence', 'Big Data', 'SQL', 'collab', 'google', 'programação', 'data', 'bi', 'tensorflow', 'analise de dados', 'data analysis', 'analise', 'ciencia', 'machine', 'logistica', 'sql', 'mongodb', 'rede neural', 'custering', 'deep learning', 'redes bayesianas']",2019-04-22T14:00:03Z,190137,14497,188,PT13M6S,hd
2,f_uwKZIAeM0,OxfordSparks,What is Machine Learning?,"['machine learning', 'machienes', 'computer learning', 'computers.', 'Big data', 'coding', 'algorithyms', 'computer science', 'oxford university', 'oxford sparks', 'oxford', 'science', 'animation', 'video', 'learning', 'key stage 4 learning', 'teacher resources', 'computational statistics', 'statistics', 'machine learning and computational statistics group']",2017-01-11T08:24:20Z,551031,4001,91,PT2M19S,hd
3,vdRp_w9f-qM,Nicholas Renotte,I can't STOP reading these Machine Learning Books!,,2023-01-24T02:32:13Z,616047,44420,162,PT26S,hd
4,ukzFI9rgwfU,Simplilearn,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2024 | Simplilearn,"['2022', '2023', 'ML', 'Machine Learning', 'basics of machine learning', 'cloud and machine learning', 'fundamentals of machine learning', 'gcp maching learning', 'getting started with machine learning', 'introduction to machine learning', 'machine learning', 'machine learning basics', 'machine learning for beginners', 'machine learning tutorial for beginners', 'machine learning with gcp', 'simplilearn', 'simplilearn machine learning', 'what is machine learning']",2018-09-19T14:57:02Z,4707847,59520,2117,PT7M52S,hd
5,5q87K1WaoFI,WIRED,Computer Scientist Explains Machine Learning in 5 Levels of Difficulty | WIRED,"['5 levels', '5 levels machine learning', '5 levels of machine learning', 'computer science', 'computer scientist', 'explanation machine learning', 'hidden door', 'innovation', 'machine learned', 'machine learning computer scientist', 'machine learning explained', 'machine learning explanation', 'machine learning hidden door', 'machine learning wired', 'machine learning youtube', 'ott 5 levels', 'science & tech', 'science & technology', 'wired', 'wired 5 levels', 'wired computer science', 'wired machine learning']",2021-08-18T16:00:08Z,2421647,69413,2204,PT26M9S,hd
6,mJeNghZXtMo,HubSpot Marketing,What is Artificial Intelligence (or Machine Learning)?,"['what is Artificial Intelligence (or Machine Learning)?', 'What is artificial', 'what is artificial intelligence', 'Artificial intelligence animation', 'what is ai', 'learning in artificial intelligence', 'artificial intelligence machine', 'ai meaning', 'ai for kids', 'artificial intelligence basics', 'ai basics', 'Ai types', 'advantages of artificial intelligence', 'artificial intelligence', 'hubspot', 'marketing', 'AI', 'applications of artificial intelligence', 'artificial intelligence explained', 'ai explained']",2017-01-30T20:19:44Z,1196587,9523,283,PT6M15S,hd
7,V-OLZIpxtXY,Rob Mulla,Machine Learning for Facial Recognition in Python in 60 Seconds #shorts,"['machine learning', 'deep learning', 'artificial intelligence', 'data science', 'face recognition', 'face recognition python', 'python machine learning', 'face detection', 'facemesh', 'mediapipe', 'facial keypoint detection', 'face keypoint detection', 'computer vision', 'deep learning projects', 'face recognition project', 'face recognition python machine learning', 'face recognition python jupyter notebook', 'face recognition python tutorial', 'rob mulla']",2022-06-21T16:08:19Z,271715,17517,121,PT1M,hd
8,-8qzzN7CWxA,the data janitor,Machine Learning is Probably Not a Good Career for You,,2022-12-09T16:09:24Z,64618,1715,148,PT1M38S,hd
9,9gGnTQTYNaE,IBM Technology,What is Machine Learning?,"['Machine Learning', 'Deep Learning', 'AI', 'Artificial Intelligence', 'supervised learning', 'unsupervised learning', 'Neural Networks', 'cloud computing', 'IBM', 'IBM Cloud', 'IBM Watson']",2021-07-14T14:07:15Z,224413,4082,58,PT8M23S,hd
